symbol,company_name,isin,sector,sector_id,industry,industry_id,industry_exposure_weight,sector_exposure_weight,classification_confidence,classification_source,classification_rationale,primary_business,business_description,effective_from,effective_to,last_verified,market_cap,index_membership
AAATECH,AAA Technologies Limited,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT & Digital Solutions,IND_MID_TIER_IT_DIGITAL_SOLUTIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'IT SERVICES' and Industry 'Mid-Tier IT & Digital Solutions' based on core economic business exposure: Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","AAA Technologies Limited specializes in mid-sized it software consulting, cloud integration, agile application development and cybersecurity.",2024-01-01,9999-12-31,2026-08-23,200.0,NSE BROAD MARKET (EQ)
AADHARHFC,Aadhar Housing Finance Limited,,FINANCE & NBFC,SEC_FINANCE_NBFC,Housing Finance (HFC),IND_HOUSING_FINANCE_HFC,1.0,1.0,HIGH,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'FINANCE & NBFC' and Industry 'Housing Finance (HFC)' based on core economic business exposure: Aadhar Housing Finance - Deep rural and low-income segment affordable housing mortgages,Aadhar Housing Finance - Deep rural and low-income segment affordable housing mortgages,Aadhar Housing Finance Limited specializes in aadhar housing finance - deep rural and low-income segment affordable housing mortgages,2024-01-01,9999-12-31,2026-08-23,65691.38,NSE BROAD MARKET (EQ)
AAKAAR,AAKAAR,,METALS & FABRICATION,SEC_METALS_FABRICATION,Precision Metal Fabrication,IND_PRECISION_METAL_FABRICATION,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'METALS & FABRICATION' and Industry 'Precision Metal Fabrication' based on core economic business exposure: Precision metal fabrication and industrial engineering.,Precision metal fabrication and industrial engineering.,AAKAAR specializes in precision metal fabrication and industrial engineering.,2024-01-01,9999-12-31,2026-08-23,117.3,NSE EMERGE (SME)
AAKASH,Aakash Exploration Services Limited,,OIL & GAS,SEC_OIL_GAS,Oil & Gas Exploration (E&P),IND_OIL_GAS_EXPLORATION_E_P,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'OIL & GAS' and Industry 'Oil & Gas Exploration (E&P)' based on core economic business exposure: Oil & gas exploration drilling services and oilfield operations.,Oil & gas exploration drilling services and oilfield operations.,Aakash Exploration Services Limited specializes in oil & gas exploration drilling services and oilfield operations.,2024-01-01,9999-12-31,2026-08-23,200.0,NSE BROAD MARKET (EQ)
AARADHYA,AARADHYA,,STEEL,SEC_STEEL,Steel Pipes & Tubes,IND_STEEL_PIPES_TUBES,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'STEEL' and Industry 'Steel Pipes & Tubes' based on core economic business exposure: Steel pipes, structural tubes and metal fabrication.","Steel pipes, structural tubes and metal fabrication.","AARADHYA specializes in steel pipes, structural tubes and metal fabrication.",2024-01-01,9999-12-31,2026-08-23,57.9,NSE EMERGE (SME)
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,PHARMACEUTICALS,SEC_PHARMACEUTICALS,Finished Formulations,IND_FINISHED_FORMULATIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'PHARMACEUTICALS' and Industry 'Finished Formulations' based on core economic business exposure: Manufacturing and marketing of branded generic prescription medicines and OTC oral solid dosages.,Manufacturing and marketing of branded generic prescription medicines and OTC oral solid dosages.,Aarey Drugs & Pharmaceuticals Limited specializes in manufacturing and marketing of branded generic prescription medicines and otc oral solid dosages.,2024-01-01,9999-12-31,2026-08-23,7004.38,NSE BROAD MARKET (EQ)
AARNAV,Aarnav Fashions Limited,,TEXTILES,SEC_TEXTILES,Garments & Apparel Exports,IND_GARMENTS_APPAREL_EXPORTS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'TEXTILES' and Industry 'Garments & Apparel Exports' based on core economic business exposure: Automated garmenting of formal shirts, denim jeans, suits and apparel for global brands.","Automated garmenting of formal shirts, denim jeans, suits and apparel for global brands.","Aarnav Fashions Limited specializes in automated garmenting of formal shirts, denim jeans, suits and apparel for global brands.",2024-01-01,9999-12-31,2026-08-23,200.0,NSE TRADE-TO-TRADE (T2T)
AARON,Aaron Industries Limited,,CAPITAL GOODS & MACHINERY,SEC_CAPITAL_GOODS_MACHINERY,Pumps & Compressors,IND_PUMPS_COMPRESSORS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL GOODS & MACHINERY' and Industry 'Pumps & Compressors' based on core economic business exposure: Industrial stainless steel valves, instrumentation fittings and tubes.","Industrial stainless steel valves, instrumentation fittings and tubes.","Aaron Industries Limited specializes in industrial stainless steel valves, instrumentation fittings and tubes.",2024-01-01,9999-12-31,2026-08-23,287.5,NSE BROAD MARKET (EQ)
AARTECH,Aartech Solonics Limited,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT & Digital Solutions,IND_MID_TIER_IT_DIGITAL_SOLUTIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'IT SERVICES' and Industry 'Mid-Tier IT & Digital Solutions' based on core economic business exposure: Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","Aartech Solonics Limited specializes in mid-sized it software consulting, cloud integration, agile application development and cybersecurity.",2024-01-01,9999-12-31,2026-08-23,1433.75,NSE TRADE-TO-TRADE (T2T)
AARTIDRUGS,Aarti Drugs Limited,,PHARMACEUTICALS,SEC_PHARMACEUTICALS,Finished Formulations,IND_FINISHED_FORMULATIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'PHARMACEUTICALS' and Industry 'Finished Formulations' based on core economic business exposure: Manufacturing and marketing of branded generic prescription medicines and OTC oral solid dosages.,Manufacturing and marketing of branded generic prescription medicines and OTC oral solid dosages.,Aarti Drugs Limited specializes in manufacturing and marketing of branded generic prescription medicines and otc oral solid dosages.,2024-01-01,9999-12-31,2026-08-23,8910.62,NSE BROAD MARKET (EQ)
AARTIIND,Aarti Industries Limited,,CHEMICALS,SEC_CHEMICALS,Specialty Chemicals,IND_SPECIALTY_CHEMICALS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'CHEMICALS' and Industry 'Specialty Chemicals' based on core economic business exposure: Multi-step specialty chemical synthesis and intermediates.,Multi-step specialty chemical synthesis and intermediates.,Aarti Industries Limited specializes in multi-step specialty chemical synthesis and intermediates.,2024-01-01,9999-12-31,2026-08-23,65503.38,NSE BROAD MARKET (EQ)
AARTIPHARM,Aarti Pharmalabs Limited,,PHARMACEUTICALS,SEC_PHARMACEUTICALS,Finished Formulations,IND_FINISHED_FORMULATIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'PHARMACEUTICALS' and Industry 'Finished Formulations' based on core economic business exposure: Manufacturing and marketing of branded generic prescription medicines and OTC oral solid dosages.,Manufacturing and marketing of branded generic prescription medicines and OTC oral solid dosages.,Aarti Pharmalabs Limited specializes in manufacturing and marketing of branded generic prescription medicines and otc oral solid dosages.,2024-01-01,9999-12-31,2026-08-23,52365.12,NSE BROAD MARKET (EQ)
AARTISURF,Aarti Surfactants Limited,,FMCG & PERSONAL CARE,SEC_FMCG_PERSONAL_CARE,Personal Care & Soaps,IND_PERSONAL_CARE_SOAPS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'FMCG & PERSONAL CARE' and Industry 'Personal Care & Soaps' based on core economic business exposure: Soaps, detergents, shampoos, skincare and personal grooming.","Soaps, detergents, shampoos, skincare and personal grooming.","Aarti Surfactants Limited specializes in soaps, detergents, shampoos, skincare and personal grooming.",2024-01-01,9999-12-31,2026-08-23,1787.5,NSE TRADE-TO-TRADE (T2T)
AARVI,Aarvi Encon Limited,,PROFESSIONAL & CONSUMER SERVICES,SEC_PROFESSIONAL_CONSUMER_SERVICES,Staffing & Security Services,IND_STAFFING_SECURITY_SERVICES,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'PROFESSIONAL & CONSUMER SERVICES' and Industry 'Staffing & Security Services' based on core economic business exposure: Technical staffing, engineering manpower and project management.","Technical staffing, engineering manpower and project management.","Aarvi Encon Limited specializes in technical staffing, engineering manpower and project management.",2024-01-01,9999-12-31,2026-08-23,987.5,NSE BROAD MARKET (EQ)
AASTHA,Aastha Spintex Limited,,TEXTILES,SEC_TEXTILES,Cotton Spinning & Yarns,IND_COTTON_SPINNING_YARNS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'TEXTILES' and Industry 'Cotton Spinning & Yarns' based on core economic business exposure: Ring-spun compact cotton yarn, blended synthetic yarns and woven fabric.","Ring-spun compact cotton yarn, blended synthetic yarns and woven fabric.","Aastha Spintex Limited specializes in ring-spun compact cotton yarn, blended synthetic yarns and woven fabric.",2024-01-01,9999-12-31,2026-08-23,1597.0,NSE BROAD MARKET (EQ)
AATMAJ,AATMAJ,,HEALTHCARE SERVICES,SEC_HEALTHCARE_SERVICES,Hospitals & Healthcare Chains,IND_HOSPITALS_HEALTHCARE_CHAINS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'HEALTHCARE SERVICES' and Industry 'Hospitals & Healthcare Chains' based on core economic business exposure: Multi-specialty healthcare surgical hospitals and maternity centers.,Multi-specialty healthcare surgical hospitals and maternity centers.,AATMAJ specializes in multi-specialty healthcare surgical hospitals and maternity centers.,2024-01-01,9999-12-31,2026-08-23,50.0,NSE EMERGE (SME)
AAVAS,Aavas Financiers Limited,,FINANCE & NBFC,SEC_FINANCE_NBFC,Housing Finance (HFC),IND_HOUSING_FINANCE_HFC,1.0,1.0,HIGH,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'FINANCE & NBFC' and Industry 'Housing Finance (HFC)' based on core economic business exposure: Aavas Financiers - Affordable housing finance in tier-2/3/4 semi-urban and rural areas,Aavas Financiers - Affordable housing finance in tier-2/3/4 semi-urban and rural areas,Aavas Financiers Limited specializes in aavas financiers - affordable housing finance in tier-2/3/4 semi-urban and rural areas,2024-01-01,9999-12-31,2026-08-23,9154.0,NSE BROAD MARKET (EQ)
ABAN,Aban Offshore Limited,,OIL & GAS,SEC_OIL_GAS,Refining & Petrochemicals,IND_REFINING_PETROCHEMICALS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'OIL & GAS' and Industry 'Refining & Petrochemicals' based on core economic business exposure: Mega crude oil distillation, petrochemical polymer cracking and transportation fuels.","Mega crude oil distillation, petrochemical polymer cracking and transportation fuels.","Aban Offshore Limited specializes in mega crude oil distillation, petrochemical polymer cracking and transportation fuels.",2024-01-01,9999-12-31,2026-08-23,200.0,NSE TRADE-TO-TRADE (T2T)
ABANSENT,Abans Enterprises Limited,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Stockbroking & Wealth Management,IND_STOCKBROKING_WEALTH_MANAGEMENT,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL MARKETS' and Industry 'Stockbroking & Wealth Management' based on core economic business exposure: Financial services, institutional broking and wealth management.","Financial services, institutional broking and wealth management.","Abans Enterprises Limited specializes in financial services, institutional broking and wealth management.",2024-01-01,9999-12-31,2026-08-23,200.0,NSE BROAD MARKET (EQ)
ABB,ABB India Limited,,ELECTRICAL EQUIPMENT,SEC_ELECTRICAL_EQUIPMENT,Heavy Switchgear & Automation,IND_HEAVY_SWITCHGEAR_AUTOMATION,0.6,0.6,HIGH,ANNUAL_REPORT_SEGMENT_REVENUE,"Classified into Sector 'ELECTRICAL EQUIPMENT' and Industry 'Heavy Switchgear & Automation' based on core economic business exposure: Electrification switchgear, distribution automation and power quality equipment","Electrification switchgear, distribution automation and power quality equipment","ABB India Limited is a diversified Indian corporate leader with operations across Heavy Switchgear & Automation, Precision Bearings & Motion Controls.",2024-01-01,9999-12-31,2026-08-23,105880.17,NIFTY NEXT 50
ABBOTINDIA,Abbott India Limited,,PHARMACEUTICALS,SEC_PHARMACEUTICALS,Finished Formulations,IND_FINISHED_FORMULATIONS,1.0,1.0,HIGH,HARDCODED_VERIFIED_FUNDAMENTAL,"Classified into Sector 'STEEL' and Industry 'Secondary Steel & TMT Rebars' based on core economic business exposure: Sponge iron, induction furnace billets and construction TMT bars.","Abbott India — Brufen (ibuprofen), Thyronorm (levothyroxine), Duphaston, Digene antacid, branded pharma","Abbott India Limited specializes in sponge iron, induction furnace billets and construction tmt bars.",2024-01-01,9999-12-31,2026-08-23,28636.25,NSE BROAD MARKET (EQ)
ABCAPITAL,Aditya Birla Capital Limited,,FINANCE & NBFC,SEC_FINANCE_NBFC,Diversified Consumer & MSME NBFC,IND_DIVERSIFIED_CONSUMER_MSME_NBFC,1.0,1.0,HIGH,HARDCODED_VERIFIED_FUNDAMENTAL,Classified into Sector 'PHARMACEUTICALS' and Industry 'API & Bulk Drugs' based on core economic business exposure: Chemical synthesis and global bulk supply of active pharmaceutical ingredients (APIs).,"Aditya Birla Capital — Aditya Birla Group's financial services holding company; NBFC lending, AMC, insurance, housing finance, broking",Aditya Birla Capital Limited specializes in chemical synthesis and global bulk supply of active pharmaceutical ingredients (apis).,2024-01-01,9999-12-31,2026-08-23,188480.88,NSE BROAD MARKET (EQ)
ABCOTS,A B Cotspin India Limited,,TEXTILES,SEC_TEXTILES,Cotton Spinning & Yarns,IND_COTTON_SPINNING_YARNS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'TEXTILES' and Industry 'Cotton Spinning & Yarns' based on core economic business exposure: Cotton spinning yarn, knitted fabric and cotton bales.","Cotton spinning yarn, knitted fabric and cotton bales.","A B Cotspin India Limited specializes in cotton spinning yarn, knitted fabric and cotton bales.",2024-01-01,9999-12-31,2026-08-23,228.5,NSE BROAD MARKET (EQ)
ABDL,Allied Blenders and Distillers Limited,,DEFENCE & AEROSPACE,SEC_DEFENCE_AEROSPACE,Missiles & Military Explosives,IND_MISSILES_MILITARY_EXPLOSIVES,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'DEFENCE & AEROSPACE' and Industry 'Missiles & Military Explosives' based on core economic business exposure: Missiles, torpedoes, warheads and military explosives.","Missiles, torpedoes, warheads and military explosives.","Allied Blenders and Distillers Limited specializes in missiles, torpedoes, warheads and military explosives.",2024-01-01,9999-12-31,2026-08-23,22109.38,NSE BROAD MARKET (EQ)
ABFRL,Aditya Birla Fashion and Retail Limited,,TEXTILES,SEC_TEXTILES,Garments & Apparel Exports,IND_GARMENTS_APPAREL_EXPORTS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'TEXTILES' and Industry 'Garments & Apparel Exports' based on core economic business exposure: Automated garmenting of formal shirts, denim jeans, suits and apparel for global brands.","Automated garmenting of formal shirts, denim jeans, suits and apparel for global brands.","Aditya Birla Fashion and Retail Limited specializes in automated garmenting of formal shirts, denim jeans, suits and apparel for global brands.",2024-01-01,9999-12-31,2026-08-23,20765.0,NSE BROAD MARKET (EQ)
ABHAPOWER,ABHAPOWER,,POWER,SEC_POWER,Conventional Thermal & Fossil Power,IND_CONVENTIONAL_THERMAL_FOSSIL_POWER,1.0,1.0,HIGH,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'POWER' and Industry 'Conventional Thermal & Fossil Power' based on core economic business exposure: Abha Power and Steel - Captive power generation and casting iron components,Abha Power and Steel - Captive power generation and casting iron components,ABHAPOWER specializes in abha power and steel - captive power generation and casting iron components,2024-01-01,9999-12-31,2026-08-23,50.0,NSE EMERGE (SME)
ABINFRA,A B Infrabuild Limited,,CONSTRUCTION & INFRASTRUCTURE,SEC_CONSTRUCTION_INFRASTRUCTURE,Roads & Highways EPC,IND_ROADS_HIGHWAYS_EPC,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CONSTRUCTION & INFRASTRUCTURE' and Industry 'Roads & Highways EPC' based on core economic business exposure: Civil infrastructure, railway bridges and highway road EPC.","Civil infrastructure, railway bridges and highway road EPC.","A B Infrabuild Limited specializes in civil infrastructure, railway bridges and highway road epc.",2024-01-01,9999-12-31,2026-08-23,23493.25,NSE BROAD MARKET (EQ)
ABLBL,Aditya Birla Lifestyle Brands Limited,,RETAIL,SEC_RETAIL,Specialty Retail Boutiques,IND_SPECIALTY_RETAIL_BOUTIQUES,1.0,1.0,HIGH,ANNUAL_REPORT_VERIFIED_CORRECTION,"Classified into Sector 'COMMERCIAL TRADING' and Industry 'Commodity & Wholesale Trading' based on core economic business exposure: Wholesale distribution of commodities, raw materials and B2B industrial products.","Aditya Birla Lifestyle Brands — Peter England, Louis Philippe, Van Heusen, Allen Solly branded apparel and accessories retail chain (ABFRL subsidiary).","Aditya Birla Lifestyle Brands Limited specializes in wholesale distribution of commodities, raw materials and b2b industrial products.",2024-01-01,9999-12-31,2026-08-23,5775.75,NSE BROAD MARKET (EQ)
ABMINTLLTD,ABM International Limited,,CONSTRUCTION & INFRASTRUCTURE,SEC_CONSTRUCTION_INFRASTRUCTURE,Civil & Commercial Construction,IND_CIVIL_COMMERCIAL_CONSTRUCTION,1.0,1.0,HIGH,ANNUAL_REPORT_VERIFIED_CORRECTION,Classified into Sector 'COMMERCIAL TRADING' and Industry 'Commodity & Wholesale Trading' based on core economic business exposure: Import and wholesale trading of plastic raw materials and polymers.,"ABM International — civil construction, infrastructure contracting, road projects and commercial building construction services.",ABM International Limited specializes in import and wholesale trading of plastic raw materials and polymers.,2024-01-01,9999-12-31,2026-08-23,200.0,NSE TRADE-TO-TRADE (T2T)
ABMKNO,ABM Knowledgeware Limited,,IT SERVICES,SEC_IT_SERVICES,Enterprise Software & SaaS,IND_ENTERPRISE_SOFTWARE_SAAS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'IT SERVICES' and Industry 'Enterprise Software & SaaS' based on core economic business exposure: e-Governance digital software solutions and municipal ERP platforms.,e-Governance digital software solutions and municipal ERP platforms.,ABM Knowledgeware Limited specializes in e-governance digital software solutions and municipal erp platforms.,2024-01-01,9999-12-31,2026-08-23,200.0,NSE BROAD MARKET (EQ)
ABREL,Aditya Birla Real Estate Limited,,REAL ESTATE,SEC_REAL_ESTATE,Residential Real Estate,IND_RESIDENTIAL_REAL_ESTATE,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'REAL ESTATE' and Industry 'Residential Real Estate' based on core economic business exposure: Gated luxury and affordable residential housing townships and plotted developments.,Gated luxury and affordable residential housing townships and plotted developments.,Aditya Birla Real Estate Limited specializes in gated luxury and affordable residential housing townships and plotted developments.,2024-01-01,9999-12-31,2026-08-23,71835.0,NSE BROAD MARKET (EQ)
ABSLAMC,Aditya Birla Sun Life AMC Limited,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Mutual Fund Asset Managers (AMC),IND_MUTUAL_FUND_ASSET_MANAGERS_AMC,1.0,1.0,HIGH,HARDCODED_VERIFIED_FUNDAMENTAL,"Classified into Sector 'CAPITAL MARKETS' and Industry 'Stockbroking & Wealth Management' based on core economic business exposure: Equities broking, algorithm trading and wealth advisory.",Aditya Birla Sun Life AMC — mutual fund asset management company; manages ABSL MF schemes worth ₹3+ lakh crore AUM,"Aditya Birla Sun Life AMC Limited specializes in equities broking, algorithm trading and wealth advisory.",2024-01-01,9999-12-31,2026-08-23,19486.38,NSE BROAD MARKET (EQ)
ABSMARINE,ABSMARINE,,SHIPBUILDING & PORTS,SEC_SHIPBUILDING_PORTS,Marine Offshore Vessels & Tugs,IND_MARINE_OFFSHORE_VESSELS_TUGS,1.0,1.0,HIGH,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'SHIPBUILDING & PORTS' and Industry 'Marine Offshore Vessels & Tugs' based on core economic business exposure: ABS Marine Services - Owning and managing offshore supply vessels, harbor tugs and dynamic positioning crew boats","ABS Marine Services - Owning and managing offshore supply vessels, harbor tugs and dynamic positioning crew boats","ABSMARINE specializes in abs marine services - owning and managing offshore supply vessels, harbor tugs and dynamic positioning crew boats",2024-01-01,9999-12-31,2026-08-23,1242.0,NSE TRADE-TO-TRADE (T2T)
ACC,ACC Limited,,CEMENT,SEC_CEMENT,Integrated Grey Cement,IND_INTEGRATED_GREY_CEMENT,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'CEMENT' and Industry 'Integrated Grey Cement' based on core economic business exposure: Grey cement manufacturing and ready-mix concrete.,Grey cement manufacturing and ready-mix concrete.,ACC Limited specializes in grey cement manufacturing and ready-mix concrete.,2024-01-01,9999-12-31,2026-08-23,19474.25,NSE BROAD MARKET (EQ)
