industry,industry_rank,symbol,relative_strength,momentum_score,trend_state,volume_confirmation,turnover_cr,breakout_status,volatility_pct,human_due_diligence_priority
Aerospace & Defence,4,BEL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Pipes & Tubes,5,APOLLOPIPE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Pipes & Tubes,5,GANDHITUBE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Pipes & Tubes,5,HARIOMPIPE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Pipes & Tubes,5,HITECH,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Pipes & Tubes,5,INDIANHUME,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Mining & Mineral Products,6,BHARATCOAL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Mining & Mineral Products,6,CMLL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Mining & Mineral Products,6,COALINDIA,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Mining & Mineral Products,6,GMDCLTD,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Mining & Mineral Products,6,MOIL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Banks,7,AUBANK,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,BREAKOUT_NEW_HIGH,2.0,PRIORITY_2
Banks,7,AXISBANK,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Banks,7,BANDHANBNK,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Banks,7,BANKBARODA,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Banks,7,BANKINDIA,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
"Textiles, Yarns & Apparel",8,ALOKINDS,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
"Textiles, Yarns & Apparel",8,AMARJOTHI,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
"Textiles, Yarns & Apparel",8,ARVIND,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
"Textiles, Yarns & Apparel",8,AXITA,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,BREAKOUT_NEW_HIGH,2.0,PRIORITY_2
"Textiles, Yarns & Apparel",8,BASML,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Transformers & T&D Equipment,9,ABB,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Transformers & T&D Equipment,9,BHEL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Transformers & T&D Equipment,9,CGPOWER,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Transformers & T&D Equipment,9,ENRIN,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Transformers & T&D Equipment,9,GVT&D,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Construction,9,CEMPRO,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Construction,9,ENGINERSIN,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Construction,9,KPIL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Construction,9,TECHNOE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Construction,9,WELENT,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,BREAKOUT_NEW_HIGH,2.0,PRIORITY_2
Automobile and Auto Components,11,ATHERENERG,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Automobile and Auto Components,11,BANCOINDIA,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Automobile and Auto Components,11,BELRISE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Automobile and Auto Components,11,HYUNDAI,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Automobile and Auto Components,11,MINDACORP,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Lubricants & Specialty Oils,12,CASTROLIND,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Lubricants & Specialty Oils,12,GPIL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Lubricants & Specialty Oils,12,GULFOILLUB,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Lubricants & Specialty Oils,12,SOTL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Lubricants & Specialty Oils,12,VEEDOL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Tea & Coffee,13,ASIANTNE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Tea & Coffee,13,BBTC,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Tea & Coffee,13,CCL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Tea & Coffee,13,COFFEEDAY,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Tea & Coffee,13,DTIL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Sugar & Bio-Ethanol,14,ANDHRSUGAR,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Sugar & Bio-Ethanol,14,AVADHSUGAR,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,BREAKOUT_NEW_HIGH,2.0,PRIORITY_2
Sugar & Bio-Ethanol,14,BAJAJHIND,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Sugar & Bio-Ethanol,14,BALRAMCHIN,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Sugar & Bio-Ethanol,14,BANARISUG,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Breweries & Distilleries,15,ABDL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Breweries & Distilleries,15,ASALCBR,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Breweries & Distilleries,15,GLOBUSSPR,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Breweries & Distilleries,15,GMBREW,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Breweries & Distilleries,15,PICCADIL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
