date,symbol,industry,basic_industry,close,stock_strength_score,momentum_20d,market_rs_20d,volume_confirmation_score
2024-09-19,VENUSREM,Diversified Commercial,Diversified Commercial,343.5,33.38,-3.7949866965411028,-5.81,40.0
2024-09-20,VENUSREM,Diversified Commercial,Diversified Commercial,342.1,30.26,-4.587923581090503,-6.61,40.0
2024-09-23,VENUSREM,Diversified Commercial,Diversified Commercial,343.4,35.84,-3.3220720720720798,-5.34,65.0
2024-09-24,VENUSREM,Diversified Commercial,Diversified Commercial,346.4,36.08,-3.6171396772398445,-5.64,65.0
2024-09-25,VENUSREM,Diversified Commercial,Diversified Commercial,341.2,33.07,-3.1919421194495645,-5.21,40.0
2024-09-26,VENUSREM,Diversified Commercial,Diversified Commercial,338.65,34.12,-2.532738523528566,-4.55,40.0
2024-09-27,VENUSREM,Diversified Commercial,Diversified Commercial,336.95,34.88,-2.191582002902759,-4.21,40.0
2024-09-30,VENUSREM,Diversified Commercial,Diversified Commercial,337.1,43.5,-0.29577048210588375,-2.32,65.0
2024-10-01,VENUSREM,Diversified Commercial,Diversified Commercial,336.75,36.59,-1.1593777516876957,-3.18,40.0
2024-10-02,VENUSREM,Diversified Commercial,Diversified Commercial,336.75,34.47,-1.9650655021834051,-3.99,40.0
2024-10-03,VENUSREM,Diversified Commercial,Diversified Commercial,327.85,25.66,-7.738849022090899,-9.76,40.0
2024-10-04,VENUSREM,Diversified Commercial,Diversified Commercial,326.8,22.14,-9.02004454342984,-11.04,40.0
2024-10-07,VENUSREM,Diversified Commercial,Diversified Commercial,316.9,23.04,-11.220058831769164,-13.24,40.0
2024-10-08,VENUSREM,Diversified Commercial,Diversified Commercial,328.15,28.41,-9.325780602376344,-11.35,65.0
2024-10-09,VENUSREM,Diversified Commercial,Diversified Commercial,339.8,48.57,-5.3745474798106425,-7.39,100.0
2024-10-10,VENUSREM,Diversified Commercial,Diversified Commercial,337.6,30.99,-5.2616809316683,-7.28,40.0
2024-10-11,VENUSREM,Diversified Commercial,Diversified Commercial,330.7,24.26,-6.568724396101144,-8.59,10.0
2024-10-14,VENUSREM,Diversified Commercial,Diversified Commercial,343.3,57.82,-2.747875354107643,-4.77,100.0
2024-10-15,VENUSREM,Diversified Commercial,Diversified Commercial,349.1,64.41,-0.4420362184514359,-2.46,100.0
2024-10-16,VENUSREM,Diversified Commercial,Diversified Commercial,354.65,70.01,2.160449373469686,0.14,100.0
2024-10-17,VENUSREM,Diversified Commercial,Diversified Commercial,345.95,57.25,0.7132459970887961,-1.31,40.0
2024-10-18,VENUSREM,Diversified Commercial,Diversified Commercial,344.55,59.11,0.7161648640748197,-1.3,40.0
2024-10-21,VENUSREM,Diversified Commercial,Diversified Commercial,344.95,66.02,0.45136866627839556,-1.57,65.0
2024-10-22,VENUSREM,Diversified Commercial,Diversified Commercial,327.05,44.71,-5.586027713625851,-7.61,40.0
2024-10-23,VENUSREM,Diversified Commercial,Diversified Commercial,326.05,47.21,-4.440211019929652,-6.46,40.0
2024-10-24,VENUSREM,Diversified Commercial,Diversified Commercial,322.25,45.6,-4.842758009744563,-6.86,40.0
2024-10-25,VENUSREM,Diversified Commercial,Diversified Commercial,322.5,60.55,-4.288470099421271,-6.31,100.0
2024-10-28,VENUSREM,Diversified Commercial,Diversified Commercial,343.6,78.16,1.9282112132898321,-0.09,100.0
2024-10-29,VENUSREM,Diversified Commercial,Diversified Commercial,343.6,69.76,2.0341499628804716,0.01,40.0
2024-10-30,VENUSREM,Diversified Commercial,Diversified Commercial,309.7,29.99,-8.03266518188568,-10.05,10.0
2024-10-31,VENUSREM,Diversified Commercial,Diversified Commercial,311.45,40.46,-5.0022876315388265,-7.02,65.0
2024-11-01,VENUSREM,Diversified Commercial,Diversified Commercial,313.4,36.76,-4.100367197062438,-6.12,65.0
2024-11-04,VENUSREM,Diversified Commercial,Diversified Commercial,309.9,33.77,-2.2088987062164778,-4.23,40.0
2024-11-05,VENUSREM,Diversified Commercial,Diversified Commercial,310.0,35.88,-5.531007161359125,-7.55,100.0
2024-11-06,VENUSREM,Diversified Commercial,Diversified Commercial,321.3,29.73,-5.444379046497938,-7.46,65.0
2024-11-07,VENUSREM,Diversified Commercial,Diversified Commercial,324.15,36.5,-3.984004739336511,-6.0,65.0
2024-11-08,VENUSREM,Diversified Commercial,Diversified Commercial,317.25,35.56,-4.067130329603863,-6.09,40.0
2024-11-11,VENUSREM,Diversified Commercial,Diversified Commercial,310.4,23.08,-9.583454704340234,-11.6,40.0
2024-11-12,VENUSREM,Diversified Commercial,Diversified Commercial,304.95,19.54,-12.646806072758531,-14.67,40.0
2024-11-13,VENUSREM,Diversified Commercial,Diversified Commercial,288.6,9.91,-18.62399548850978,-20.64,10.0
2024-11-14,VENUSREM,Diversified Commercial,Diversified Commercial,302.65,26.98,-12.516259575083112,-14.54,65.0
2024-11-18,VENUSREM,Diversified Commercial,Diversified Commercial,295.7,21.61,-14.177913220142225,-16.2,40.0
2024-11-19,VENUSREM,Diversified Commercial,Diversified Commercial,293.7,17.06,-14.85722568488187,-16.88,40.0
2024-11-20,VENUSREM,Diversified Commercial,Diversified Commercial,293.7,18.97,-10.197217550833216,-12.22,40.0
2024-11-21,VENUSREM,Diversified Commercial,Diversified Commercial,298.65,29.88,-8.403619076828717,-10.42,65.0
2024-11-22,VENUSREM,Diversified Commercial,Diversified Commercial,291.85,20.68,-9.433669511249022,-11.45,40.0
2024-11-25,VENUSREM,Diversified Commercial,Diversified Commercial,294.55,20.95,-8.666666666666668,-10.69,65.0
2024-11-26,VENUSREM,Diversified Commercial,Diversified Commercial,300.5,17.72,-12.54365541327125,-14.56,65.0
2024-11-27,VENUSREM,Diversified Commercial,Diversified Commercial,304.05,18.23,-11.510477299185107,-13.53,65.0
2024-11-28,VENUSREM,Diversified Commercial,Diversified Commercial,302.15,31.9,-2.437843073942525,-4.46,40.0
2024-11-29,VENUSREM,Diversified Commercial,Diversified Commercial,306.8,48.71,-1.493016535559477,-3.51,65.0
2024-12-02,VENUSREM,Diversified Commercial,Diversified Commercial,316.2,59.61,0.8934269304403442,-1.13,65.0
2024-12-03,VENUSREM,Diversified Commercial,Diversified Commercial,318.6,58.46,2.8073572120038914,0.79,65.0
2024-12-04,VENUSREM,Diversified Commercial,Diversified Commercial,326.15,63.09,5.20967741935483,3.19,65.0
2024-12-05,VENUSREM,Diversified Commercial,Diversified Commercial,323.15,51.47,0.5757858699035001,-1.44,40.0
2024-12-06,VENUSREM,Diversified Commercial,Diversified Commercial,334.55,65.88,3.2083911769242635,1.19,100.0
2024-12-09,VENUSREM,Diversified Commercial,Diversified Commercial,339.8,70.16,7.107959022852639,5.09,100.0
2024-12-10,VENUSREM,Diversified Commercial,Diversified Commercial,337.85,62.27,8.843427835051564,6.82,40.0
2024-12-11,VENUSREM,Diversified Commercial,Diversified Commercial,338.25,66.28,10.919822921790455,8.9,65.0
2024-12-12,VENUSREM,Diversified Commercial,Diversified Commercial,340.45,71.42,17.966042966042963,15.95,65.0
2024-12-13,VENUSREM,Diversified Commercial,Diversified Commercial,333.55,57.42,10.209813315711225,8.19,40.0
2024-12-16,VENUSREM,Diversified Commercial,Diversified Commercial,324.65,53.78,9.79032803517077,7.77,40.0
2024-12-17,VENUSREM,Diversified Commercial,Diversified Commercial,328.25,63.61,11.76370446033368,9.74,65.0
2024-12-18,VENUSREM,Diversified Commercial,Diversified Commercial,326.0,60.04,10.997616615594152,8.98,40.0
2024-12-19,VENUSREM,Diversified Commercial,Diversified Commercial,322.2,43.7,7.885484681064803,5.87,40.0
2024-12-20,VENUSREM,Diversified Commercial,Diversified Commercial,312.75,47.66,7.161212951858831,5.14,40.0
2024-12-23,VENUSREM,Diversified Commercial,Diversified Commercial,310.25,47.58,5.330164657952796,3.31,40.0
2024-12-24,VENUSREM,Diversified Commercial,Diversified Commercial,308.35,43.27,2.6123128119800443,0.59,40.0
2024-12-25,VENUSREM,Diversified Commercial,Diversified Commercial,308.35,42.85,1.414241078769951,-0.61,40.0
2024-12-26,VENUSREM,Diversified Commercial,Diversified Commercial,305.7,43.73,1.1749131226212128,-0.85,40.0
2024-12-27,VENUSREM,Diversified Commercial,Diversified Commercial,306.55,44.31,-0.08148631029987197,-2.1,65.0
2024-12-30,VENUSREM,Diversified Commercial,Diversified Commercial,310.05,43.42,-1.9449715370018938,-3.96,65.0
2024-12-31,VENUSREM,Diversified Commercial,Diversified Commercial,318.45,65.16,-0.04708097928437516,-2.07,100.0
2025-01-01,VENUSREM,Diversified Commercial,Diversified Commercial,318.35,49.08,-2.3915376360570173,-4.41,40.0
2025-01-02,VENUSREM,Diversified Commercial,Diversified Commercial,317.65,49.46,-1.7019959771004234,-3.72,40.0
2025-01-03,VENUSREM,Diversified Commercial,Diversified Commercial,318.1,43.12,-4.917052757435359,-6.94,65.0
2025-01-06,VENUSREM,Diversified Commercial,Diversified Commercial,301.65,18.12,-11.227192466156577,-13.25,10.0
2025-01-07,VENUSREM,Diversified Commercial,Diversified Commercial,306.4,34.19,-9.308864880864299,-11.33,100.0
2025-01-08,VENUSREM,Diversified Commercial,Diversified Commercial,302.55,20.12,-10.554323725055426,-12.57,10.0
2025-01-09,VENUSREM,Diversified Commercial,Diversified Commercial,301.4,22.52,-11.47011308562198,-13.49,40.0
2025-01-10,VENUSREM,Diversified Commercial,Diversified Commercial,296.6,28.02,-11.077799430370261,-13.1,40.0
2025-01-13,VENUSREM,Diversified Commercial,Diversified Commercial,288.85,39.3,-11.027260126289839,-13.05,40.0
2025-01-14,VENUSREM,Diversified Commercial,Diversified Commercial,294.65,39.54,-10.236100533130244,-12.26,65.0
2025-01-15,VENUSREM,Diversified Commercial,Diversified Commercial,295.0,38.9,-9.509202453987731,-11.53,65.0
2025-01-16,VENUSREM,Diversified Commercial,Diversified Commercial,299.4,41.02,-7.076350093109873,-9.1,65.0
2025-01-17,VENUSREM,Diversified Commercial,Diversified Commercial,297.75,38.18,-4.796163069544368,-6.82,40.0
2025-01-20,VENUSREM,Diversified Commercial,Diversified Commercial,295.35,32.97,-4.802578565672833,-6.82,40.0
2025-01-21,VENUSREM,Diversified Commercial,Diversified Commercial,301.15,56.3,-2.335008918436854,-4.36,100.0
2025-01-22,VENUSREM,Diversified Commercial,Diversified Commercial,294.0,42.68,-4.653802497162318,-6.67,40.0
2025-01-23,VENUSREM,Diversified Commercial,Diversified Commercial,294.1,47.26,-3.7945698397121252,-5.81,65.0
2025-01-24,VENUSREM,Diversified Commercial,Diversified Commercial,292.1,44.98,-4.713749796118083,-6.73,40.0
2025-01-27,VENUSREM,Diversified Commercial,Diversified Commercial,286.1,42.97,-7.724560554749226,-9.74,40.0
2025-01-28,VENUSREM,Diversified Commercial,Diversified Commercial,275.9,32.33,-13.361595226880208,-15.38,40.0
2025-01-29,VENUSREM,Diversified Commercial,Diversified Commercial,291.7,47.33,-8.371289461284759,-10.39,65.0
2025-01-30,VENUSREM,Diversified Commercial,Diversified Commercial,295.85,52.03,-6.862899417597967,-8.88,65.0
2025-01-31,VENUSREM,Diversified Commercial,Diversified Commercial,300.8,62.6,-5.4385413392015085,-7.46,65.0
2025-02-03,VENUSREM,Diversified Commercial,Diversified Commercial,288.35,42.59,-4.409083374772072,-6.43,10.0
2025-02-04,VENUSREM,Diversified Commercial,Diversified Commercial,292.75,51.69,-4.454960835509136,-6.47,65.0
2025-02-05,VENUSREM,Diversified Commercial,Diversified Commercial,351.3,86.21,16.113039167079823,14.09,100.0
2025-02-06,VENUSREM,Diversified Commercial,Diversified Commercial,351.95,86.23,16.771731917717325,14.75,100.0
2025-02-07,VENUSREM,Diversified Commercial,Diversified Commercial,360.55,91.04,21.561024949426823,19.54,100.0
2025-02-10,VENUSREM,Diversified Commercial,Diversified Commercial,356.45,77.17,23.403150424095532,21.38,10.0
2025-02-11,VENUSREM,Diversified Commercial,Diversified Commercial,313.5,63.63,6.397420668589859,4.38,10.0
2025-02-12,VENUSREM,Diversified Commercial,Diversified Commercial,321.1,81.89,8.847457627118649,6.83,65.0
2025-02-13,VENUSREM,Diversified Commercial,Diversified Commercial,318.4,77.23,6.346025384101539,4.33,40.0
2025-02-14,VENUSREM,Diversified Commercial,Diversified Commercial,317.7,78.01,6.700251889168762,4.68,40.0
2025-02-17,VENUSREM,Diversified Commercial,Diversified Commercial,309.2,64.0,4.689351616725901,2.67,40.0
2025-02-18,VENUSREM,Diversified Commercial,Diversified Commercial,305.4,62.27,1.4112568487464783,-0.61,40.0
2025-02-19,VENUSREM,Diversified Commercial,Diversified Commercial,308.8,67.12,5.034013605442178,3.01,65.0
2025-02-20,VENUSREM,Diversified Commercial,Diversified Commercial,312.15,67.62,6.137368242094521,4.12,65.0
2025-02-21,VENUSREM,Diversified Commercial,Diversified Commercial,310.2,63.36,6.196508045189986,4.18,40.0
2025-02-24,VENUSREM,Diversified Commercial,Diversified Commercial,306.45,62.66,7.11289758825584,5.09,40.0
2025-02-25,VENUSREM,Diversified Commercial,Diversified Commercial,312.75,73.73,13.35628851032984,11.34,65.0
2025-02-27,VENUSREM,Diversified Commercial,Diversified Commercial,304.75,62.79,4.4737744257799195,2.45,40.0
2025-02-28,VENUSREM,Diversified Commercial,Diversified Commercial,296.35,60.58,0.16900456312320955,-1.85,40.0
2025-03-03,VENUSREM,Diversified Commercial,Diversified Commercial,286.85,56.76,-4.6376329787234045,-6.66,40.0
2025-03-04,VENUSREM,Diversified Commercial,Diversified Commercial,285.05,58.77,-1.1444425177735473,-3.16,40.0
2025-03-05,VENUSREM,Diversified Commercial,Diversified Commercial,294.1,64.48,0.4611443210930988,-1.56,65.0
2025-03-06,VENUSREM,Diversified Commercial,Diversified Commercial,302.05,38.31,-14.019356675206375,-16.04,65.0
2025-03-07,VENUSREM,Diversified Commercial,Diversified Commercial,305.5,46.96,-13.197897428612016,-15.22,65.0
2025-03-10,VENUSREM,Diversified Commercial,Diversified Commercial,298.25,28.52,-17.279156843710997,-19.3,40.0
2025-03-11,VENUSREM,Diversified Commercial,Diversified Commercial,292.0,25.09,-18.08107728994248,-20.1,40.0
2025-03-12,VENUSREM,Diversified Commercial,Diversified Commercial,290.75,42.08,-7.256778309409883,-9.28,40.0
2025-03-13,VENUSREM,Diversified Commercial,Diversified Commercial,290.4,38.25,-9.560884459669893,-11.58,40.0
2025-03-17,VENUSREM,Diversified Commercial,Diversified Commercial,286.0,37.64,-10.175879396984921,-12.2,40.0
2025-03-18,VENUSREM,Diversified Commercial,Diversified Commercial,292.75,37.28,-7.853320742839154,-9.87,65.0
2025-03-19,VENUSREM,Diversified Commercial,Diversified Commercial,295.45,36.36,-4.446959896507119,-6.47,65.0
2025-03-20,VENUSREM,Diversified Commercial,Diversified Commercial,291.55,22.91,-4.535036018336602,-6.56,10.0
2025-03-21,VENUSREM,Diversified Commercial,Diversified Commercial,299.45,49.49,-3.0278497409326532,-5.05,100.0
2025-03-24,VENUSREM,Diversified Commercial,Diversified Commercial,297.6,25.34,-4.661220567035063,-6.68,10.0
2025-03-25,VENUSREM,Diversified Commercial,Diversified Commercial,290.7,25.0,-6.286266924564798,-8.31,10.0
2025-03-26,VENUSREM,Diversified Commercial,Diversified Commercial,279.45,21.31,-8.81057268722467,-10.83,10.0
2025-03-27,VENUSREM,Diversified Commercial,Diversified Commercial,289.65,38.31,-7.386091127098327,-9.41,100.0
2025-03-28,VENUSREM,Diversified Commercial,Diversified Commercial,299.45,54.55,-1.7391304347826098,-3.76,100.0
2025-04-01,VENUSREM,Diversified Commercial,Diversified Commercial,316.25,66.48,6.71503290028681,4.7,100.0
2025-04-02,VENUSREM,Diversified Commercial,Diversified Commercial,310.85,55.4,8.366742199755972,6.35,40.0
2025-04-03,VENUSREM,Diversified Commercial,Diversified Commercial,323.15,67.15,13.366076126995253,11.35,65.0
2025-04-04,VENUSREM,Diversified Commercial,Diversified Commercial,311.7,60.53,5.984359061543687,3.96,40.0
2025-04-07,VENUSREM,Diversified Commercial,Diversified Commercial,294.05,42.03,-2.648568117861283,-4.67,40.0
2025-04-08,VENUSREM,Diversified Commercial,Diversified Commercial,301.1,46.39,-1.4402618657937682,-3.46,65.0
2025-04-09,VENUSREM,Diversified Commercial,Diversified Commercial,298.4,43.04,0.050293378038546166,-1.97,40.0
2025-04-11,VENUSREM,Diversified Commercial,Diversified Commercial,305.85,61.01,4.743150684931519,2.72,65.0
2025-04-15,VENUSREM,Diversified Commercial,Diversified Commercial,311.5,58.89,7.1367153912295755,5.12,65.0
2025-04-16,VENUSREM,Diversified Commercial,Diversified Commercial,312.65,54.65,7.66184573002755,5.64,65.0
2025-04-17,VENUSREM,Diversified Commercial,Diversified Commercial,338.6,80.43,18.391608391608404,16.37,100.0
2025-04-21,VENUSREM,Diversified Commercial,Diversified Commercial,334.5,66.68,14.261315115286077,12.24,40.0
2025-04-22,VENUSREM,Diversified Commercial,Diversified Commercial,337.3,72.9,14.16483330512779,12.14,65.0
2025-04-23,VENUSREM,Diversified Commercial,Diversified Commercial,338.45,75.68,16.08643457382952,14.07,65.0
2025-04-24,VENUSREM,Diversified Commercial,Diversified Commercial,334.65,68.64,11.754883953915506,9.73,40.0
2025-04-25,VENUSREM,Diversified Commercial,Diversified Commercial,318.65,66.51,7.073252688172027,5.05,40.0
2025-04-28,VENUSREM,Diversified Commercial,Diversified Commercial,313.2,55.97,7.739938080495357,5.72,40.0
2025-04-29,VENUSREM,Diversified Commercial,Diversified Commercial,311.55,58.74,11.486849168008595,9.47,40.0
2025-04-30,VENUSREM,Diversified Commercial,Diversified Commercial,302.85,42.26,4.557224236147084,2.54,40.0
2025-05-02,VENUSREM,Diversified Commercial,Diversified Commercial,303.1,35.74,1.2189013190849973,-0.8,65.0
2025-05-05,VENUSREM,Diversified Commercial,Diversified Commercial,306.65,27.34,-3.0355731225296556,-5.06,65.0
2025-05-06,VENUSREM,Diversified Commercial,Diversified Commercial,299.2,28.53,-3.7477883223419717,-5.77,40.0
2025-05-07,VENUSREM,Diversified Commercial,Diversified Commercial,303.25,29.44,-6.158130898963321,-8.18,65.0
2025-05-08,VENUSREM,Diversified Commercial,Diversified Commercial,301.9,28.03,-3.1440487648379922,-5.16,40.0
2025-05-09,VENUSREM,Diversified Commercial,Diversified Commercial,299.35,33.71,1.802414555347731,-0.22,40.0
2025-05-12,VENUSREM,Diversified Commercial,Diversified Commercial,311.7,49.94,3.5204251079375526,1.5,65.0
2025-05-13,VENUSREM,Diversified Commercial,Diversified Commercial,315.2,51.16,5.630026809651478,3.61,65.0
2025-05-14,VENUSREM,Diversified Commercial,Diversified Commercial,316.55,47.9,3.498446951119827,1.48,65.0
2025-05-15,VENUSREM,Diversified Commercial,Diversified Commercial,325.45,60.46,4.4783306581059446,2.46,100.0
2025-05-16,VENUSREM,Diversified Commercial,Diversified Commercial,342.75,73.97,9.627378858148106,7.61,100.0
2025-05-19,VENUSREM,Diversified Commercial,Diversified Commercial,337.6,40.08,-0.2953337271116352,-2.32,40.0
2025-05-20,VENUSREM,Diversified Commercial,Diversified Commercial,333.75,45.71,-0.22421524663677195,-2.24,40.0
2025-05-21,VENUSREM,Diversified Commercial,Diversified Commercial,349.9,68.73,3.7355469908093575,1.72,100.0
2025-05-22,VENUSREM,Diversified Commercial,Diversified Commercial,355.05,72.75,4.904712660658883,2.88,100.0
2025-05-23,VENUSREM,Diversified Commercial,Diversified Commercial,355.6,69.87,6.260271925892735,4.24,65.0
2025-05-26,VENUSREM,Diversified Commercial,Diversified Commercial,363.45,81.0,14.059312725560957,12.04,100.0
2025-05-27,VENUSREM,Diversified Commercial,Diversified Commercial,402.65,95.46,28.56002554278416,26.54,100.0
2025-05-28,VENUSREM,Diversified Commercial,Diversified Commercial,396.45,81.09,27.250842561386612,25.23,10.0
2025-05-29,VENUSREM,Diversified Commercial,Diversified Commercial,405.35,95.87,33.84513785702492,31.83,100.0
2025-05-30,VENUSREM,Diversified Commercial,Diversified Commercial,435.2,98.45,43.582975915539414,41.56,100.0
2025-06-02,VENUSREM,Diversified Commercial,Diversified Commercial,459.4,98.4,49.812489809228765,47.79,100.0
2025-06-03,VENUSREM,Diversified Commercial,Diversified Commercial,459.75,93.18,53.659759358288774,51.64,65.0
2025-06-04,VENUSREM,Diversified Commercial,Diversified Commercial,447.8,88.48,47.66694146743611,45.65,40.0
2025-06-05,VENUSREM,Diversified Commercial,Diversified Commercial,435.6,87.09,44.2861874792978,42.27,40.0
2025-06-06,VENUSREM,Diversified Commercial,Diversified Commercial,430.0,86.42,43.64456322031067,41.62,40.0
2025-06-09,VENUSREM,Diversified Commercial,Diversified Commercial,442.7,91.43,42.027590632017976,40.01,65.0
2025-06-10,VENUSREM,Diversified Commercial,Diversified Commercial,457.7,92.53,45.209390862944154,43.19,65.0
2025-06-11,VENUSREM,Diversified Commercial,Diversified Commercial,461.25,92.81,45.71157794977096,43.69,65.0
2025-06-12,VENUSREM,Diversified Commercial,Diversified Commercial,445.7,87.74,36.94884006759871,34.93,40.0
2025-06-13,VENUSREM,Diversified Commercial,Diversified Commercial,457.3,91.98,33.42086068563093,31.4,65.0
2025-06-16,VENUSREM,Diversified Commercial,Diversified Commercial,445.15,87.47,31.85722748815165,29.84,40.0
2025-06-17,VENUSREM,Diversified Commercial,Diversified Commercial,439.3,87.47,31.625468164794015,29.61,40.0
2025-06-18,VENUSREM,Diversified Commercial,Diversified Commercial,433.95,86.21,24.021148899685627,22.0,40.0
2025-06-19,VENUSREM,Diversified Commercial,Diversified Commercial,425.8,85.47,19.926770877341227,17.91,40.0
2025-06-20,VENUSREM,Diversified Commercial,Diversified Commercial,433.35,89.95,21.864454443194603,19.84,65.0
2025-06-23,VENUSREM,Diversified Commercial,Diversified Commercial,429.9,84.96,18.283120099050755,16.26,40.0
2025-06-24,VENUSREM,Diversified Commercial,Diversified Commercial,428.6,76.09,6.44480317893954,4.42,40.0
2025-06-25,VENUSREM,Diversified Commercial,Diversified Commercial,434.85,83.26,9.685962920923208,7.67,65.0
2025-06-26,VENUSREM,Diversified Commercial,Diversified Commercial,439.3,81.86,8.375477981990876,6.36,65.0
2025-06-27,VENUSREM,Diversified Commercial,Diversified Commercial,458.95,77.93,5.457261029411775,3.44,65.0
2025-06-30,VENUSREM,Diversified Commercial,Diversified Commercial,458.45,55.63,-0.20679146713104002,-2.23,40.0
2025-07-01,VENUSREM,Diversified Commercial,Diversified Commercial,449.2,48.46,-2.294725394235997,-4.31,40.0
2025-07-02,VENUSREM,Diversified Commercial,Diversified Commercial,461.25,70.76,3.0035730236712688,0.98,65.0
2025-07-03,VENUSREM,Diversified Commercial,Diversified Commercial,455.15,68.25,4.4880624426078874,2.47,10.0
2025-07-04,VENUSREM,Diversified Commercial,Diversified Commercial,445.3,70.78,3.558139534883731,1.54,40.0
2025-07-07,VENUSREM,Diversified Commercial,Diversified Commercial,431.9,41.11,-2.439575333182742,-4.46,40.0
2025-07-08,VENUSREM,Diversified Commercial,Diversified Commercial,447.5,59.83,-2.228533974218916,-4.25,65.0
2025-07-09,VENUSREM,Diversified Commercial,Diversified Commercial,469.85,82.35,1.8644986449864565,-0.16,100.0
2025-07-10,VENUSREM,Diversified Commercial,Diversified Commercial,465.3,70.97,4.39757684541171,2.38,10.0
2025-07-11,VENUSREM,Diversified Commercial,Diversified Commercial,455.05,58.63,-0.4920183686857649,-2.51,40.0
2025-07-14,VENUSREM,Diversified Commercial,Diversified Commercial,477.8,83.85,7.334606312478953,5.31,65.0
2025-07-15,VENUSREM,Diversified Commercial,Diversified Commercial,501.45,94.02,14.147507398133396,12.13,100.0
2025-07-16,VENUSREM,Diversified Commercial,Diversified Commercial,526.5,96.85,21.327341859661253,19.31,100.0
2025-07-17,VENUSREM,Diversified Commercial,Diversified Commercial,552.8,98.29,29.826209488022528,27.81,100.0
2025-07-18,VENUSREM,Diversified Commercial,Diversified Commercial,552.6,83.92,27.51817237798546,25.5,10.0
2025-07-21,VENUSREM,Diversified Commercial,Diversified Commercial,541.55,87.75,25.971156082809955,23.95,40.0
2025-07-22,VENUSREM,Diversified Commercial,Diversified Commercial,530.75,87.15,23.833411105926274,21.81,40.0
2025-07-23,VENUSREM,Diversified Commercial,Diversified Commercial,520.15,85.89,19.615959526273418,17.6,40.0
2025-07-24,VENUSREM,Diversified Commercial,Diversified Commercial,509.75,84.24,16.036876849533343,14.02,40.0
2025-07-25,VENUSREM,Diversified Commercial,Diversified Commercial,519.0,87.76,13.08421396666304,11.06,65.0
2025-07-28,VENUSREM,Diversified Commercial,Diversified Commercial,519.0,84.91,13.207547169811317,11.19,40.0
2025-07-29,VENUSREM,Diversified Commercial,Diversified Commercial,515.0,85.12,14.64826357969724,12.63,40.0
2025-07-30,VENUSREM,Diversified Commercial,Diversified Commercial,525.3,88.68,13.8861788617886,11.87,65.0
2025-07-31,VENUSREM,Diversified Commercial,Diversified Commercial,532.1,90.14,16.90651433593322,14.89,65.0
2025-08-01,VENUSREM,Diversified Commercial,Diversified Commercial,530.0,87.33,19.020884796766225,17.0,40.0
2025-08-04,VENUSREM,Diversified Commercial,Diversified Commercial,519.4,86.99,20.259319286871968,18.24,40.0
2025-08-05,VENUSREM,Diversified Commercial,Diversified Commercial,509.05,84.96,13.754189944134087,11.73,40.0
2025-08-06,VENUSREM,Diversified Commercial,Diversified Commercial,498.9,70.07,6.182824305629442,4.16,40.0
2025-08-07,VENUSREM,Diversified Commercial,Diversified Commercial,490.1,69.12,5.329894691596815,3.31,40.0
2025-08-08,VENUSREM,Diversified Commercial,Diversified Commercial,480.3,69.63,5.5488407867267275,3.53,40.0
2025-08-11,VENUSREM,Diversified Commercial,Diversified Commercial,473.95,59.59,-0.8057764755127761,-2.83,40.0
