date,basic_industry,Q1_CURRENT_STRENGTH,EXPECTED_RETURN_20D,P_gt_5pct_20D,BEST_HORIZON,OPPORTUNITY_CLASS,Q3_KEY_POSITIVE_DRIVERS,Q3_KEY_RISK_FACTORS
2024-11-29,API & CDMO / CRAMS,66.9,6.14,56.1,5D_SHORT_TERM,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+4.5% 20D RS); +Strength Accelerating (+11.6 pts),
2024-12-02,API & CDMO / CRAMS,76.9,8.68,68.9,5D_SHORT_TERM,LEADING,+Broad Industry Participation (89% > SMA50); +Outperforming NIFTY (+6.1% 20D RS); +Strength Accelerating (+12.3 pts),
2024-12-03,API & CDMO / CRAMS,68.3,5.23,51.2,60D_STRUCTURAL,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+6.1% 20D RS); +Strength Accelerating (+4.6 pts),
2024-12-04,API & CDMO / CRAMS,67.8,4.69,48.3,60D_STRUCTURAL,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+5.0% 20D RS); +Strength Accelerating (+2.4 pts),
2024-12-05,API & CDMO / CRAMS,65.3,3.98,44.5,60D_STRUCTURAL,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+3.6% 20D RS),
2024-12-06,API & CDMO / CRAMS,66.8,4.02,44.7,60D_STRUCTURAL,ESTABLISHED_LEADER,+Broad Industry Participation (89% > SMA50); +Outperforming NIFTY (+4.6% 20D RS),
2024-12-09,API & CDMO / CRAMS,55.9,-1.27,20.6,60D_STRUCTURAL,WEAKENING,+Broad Industry Participation (67% > SMA50); +Outperforming NIFTY (+2.6% 20D RS); +Volume Accumulation (1.6x 20D avg),-Strength Decelerating (-21.0 pts)
2024-12-10,API & CDMO / CRAMS,57.0,-0.35,24.0,60D_STRUCTURAL,WEAKENING,+Broad Industry Participation (67% > SMA50); +Outperforming NIFTY (+3.9% 20D RS); +Volume Accumulation (1.3x 20D avg),-Strength Decelerating (-11.3 pts)
2024-12-11,API & CDMO / CRAMS,62.2,1.94,34.0,60D_STRUCTURAL,NEUTRAL,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+3.9% 20D RS),-Strength Decelerating (-5.5 pts)
2024-12-12,API & CDMO / CRAMS,65.1,3.6,42.5,60D_STRUCTURAL,ESTABLISHED_LEADER,+Broad Industry Participation (67% > SMA50); +Outperforming NIFTY (+4.9% 20D RS); +Volume Accumulation (3.2x 20D avg),
2024-12-13,API & CDMO / CRAMS,47.6,-3.29,14.5,60D_STRUCTURAL,WEAKENING,+Outperforming NIFTY (+2.3% 20D RS),-Weak Breadth Participation (56% > SMA50); -Strength Decelerating (-19.3 pts)
2024-12-16,API & CDMO / CRAMS,46.3,-2.63,16.3,60D_STRUCTURAL,WEAKENING,+Outperforming NIFTY (+2.8% 20D RS),-Weak Breadth Participation (44% > SMA50); -Strength Decelerating (-9.7 pts)
2024-12-17,API & CDMO / CRAMS,44.2,-3.69,13.5,60D_STRUCTURAL,WEAKENING,+Outperforming NIFTY (+1.4% 20D RS),-Weak Breadth Participation (44% > SMA50); -Strength Decelerating (-12.8 pts)
2024-12-18,API & CDMO / CRAMS,43.7,-4.21,12.3,60D_STRUCTURAL,WEAKENING,+Outperforming NIFTY (+0.5% 20D RS),-Weak Breadth Participation (44% > SMA50); -Strength Decelerating (-18.6 pts)
2024-12-19,API & CDMO / CRAMS,41.6,-4.72,11.2,60D_STRUCTURAL,WEAKENING,+Outperforming NIFTY (+1.1% 20D RS),-Weak Breadth Participation (44% > SMA50); -Strength Decelerating (-23.5 pts)
2024-12-20,API & CDMO / CRAMS,32.4,-6.93,7.5,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-3.3% 20D RS)
2024-12-23,API & CDMO / CRAMS,30.5,-7.38,6.9,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-5.7% 20D RS)
2024-12-24,API & CDMO / CRAMS,39.5,-3.38,14.2,60D_STRUCTURAL,NEUTRAL,+Volume Accumulation (1.9x 20D avg),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-5.3% 20D RS)
2024-12-25,API & CDMO / CRAMS,37.3,-4.21,12.3,60D_STRUCTURAL,WEAKENING,+Volume Accumulation (1.5x 20D avg),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-5.9% 20D RS)
2024-12-26,API & CDMO / CRAMS,28.7,-7.43,6.8,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-7.0% 20D RS)
2024-12-27,API & CDMO / CRAMS,28.1,-6.01,8.8,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-8.9% 20D RS)
2024-12-30,API & CDMO / CRAMS,31.3,-4.35,12.0,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-10.2% 20D RS)
2024-12-31,API & CDMO / CRAMS,32.5,-5.46,9.8,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-8.1% 20D RS)
2025-01-01,API & CDMO / CRAMS,41.0,-1.5,19.8,60D_STRUCTURAL,NEUTRAL,+Strength Accelerating (+3.7 pts),-Weak Breadth Participation (56% > SMA50); -Underperforming NIFTY (-6.9% 20D RS)
2025-01-02,API & CDMO / CRAMS,40.6,-0.12,24.9,5D_SHORT_TERM,NEUTRAL,+Strength Accelerating (+11.9 pts),-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-6.7% 20D RS)
2025-01-03,API & CDMO / CRAMS,37.7,-1.24,20.7,5D_SHORT_TERM,NEUTRAL,+Strength Accelerating (+9.5 pts),-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-7.8% 20D RS)
2025-01-06,API & CDMO / CRAMS,33.2,-3.69,13.5,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-7.9% 20D RS)
2025-01-07,API & CDMO / CRAMS,33.2,-3.91,13.0,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-5.4% 20D RS)
2025-01-08,API & CDMO / CRAMS,28.0,-7.62,6.6,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-6.8% 20D RS)
2025-01-09,API & CDMO / CRAMS,29.7,-6.81,7.6,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-6.2% 20D RS)
2025-01-10,API & CDMO / CRAMS,24.1,-8.64,5.4,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-8.4% 20D RS)
2025-01-13,API & CDMO / CRAMS,19.7,-9.7,4.5,60D_STRUCTURAL,DISTRIBUTION,+Volume Accumulation (1.5x 20D avg),-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-10.9% 20D RS)
2025-01-14,API & CDMO / CRAMS,28.3,-6.08,8.7,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-8.5% 20D RS)
2025-01-15,API & CDMO / CRAMS,17.5,-9.67,4.5,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-8.9% 20D RS)
2025-01-16,API & CDMO / CRAMS,19.2,-9.27,4.9,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-7.1% 20D RS)
2025-01-17,API & CDMO / CRAMS,24.2,-6.19,8.5,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-4.9% 20D RS)
2025-01-20,API & CDMO / CRAMS,43.7,1.19,30.5,5D_SHORT_TERM,NEUTRAL,+Strength Accelerating (+24.0 pts),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-1.5% 20D RS)
2025-01-21,API & CDMO / CRAMS,27.2,-5.68,9.4,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-5.2% 20D RS)
2025-01-22,API & CDMO / CRAMS,29.4,-2.8,15.8,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+11.9 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-5.8% 20D RS)
2025-01-23,API & CDMO / CRAMS,33.5,-1.39,20.2,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+14.3 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-3.9% 20D RS)
2025-01-24,API & CDMO / CRAMS,31.0,-3.31,14.4,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+6.9 pts); +Volume Accumulation (2.7x 20D avg),-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-7.4% 20D RS)
2025-01-27,API & CDMO / CRAMS,19.2,-10.09,4.2,60D_STRUCTURAL,DISTRIBUTION,+Volume Accumulation (2.3x 20D avg),-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-13.0% 20D RS)
2025-01-28,API & CDMO / CRAMS,15.2,-10.5,3.9,60D_STRUCTURAL,DISTRIBUTION,+Volume Accumulation (1.8x 20D avg),-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-16.9% 20D RS)
2025-01-29,API & CDMO / CRAMS,12.8,-11.62,3.2,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-15.5% 20D RS)
2025-01-30,API & CDMO / CRAMS,20.4,-9.46,4.7,60D_STRUCTURAL,DISTRIBUTION,+Volume Accumulation (1.5x 20D avg),-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-14.0% 20D RS)
2025-01-31,API & CDMO / CRAMS,19.3,-9.48,4.7,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-12.7% 20D RS)
2025-02-03,API & CDMO / CRAMS,21.9,-6.26,8.4,60D_STRUCTURAL,LAGGING,+Strength Accelerating (+2.7 pts),-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-10.0% 20D RS)
2025-02-04,API & CDMO / CRAMS,25.8,-3.9,13.0,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+10.6 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-10.5% 20D RS)
2025-02-05,API & CDMO / CRAMS,32.8,-1.42,20.1,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+20.0 pts),-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-8.0% 20D RS)
2025-02-06,API & CDMO / CRAMS,31.0,-2.65,16.2,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+10.6 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-7.0% 20D RS)
2025-02-07,API & CDMO / CRAMS,34.3,-1.09,21.2,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+14.9 pts),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-4.7% 20D RS)
2025-02-10,API & CDMO / CRAMS,37.2,-0.37,23.9,5D_SHORT_TERM,NEUTRAL,+Strength Accelerating (+15.3 pts),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-3.2% 20D RS)
2025-02-11,API & CDMO / CRAMS,28.3,-4.77,11.1,60D_STRUCTURAL,LAGGING,+Strength Accelerating (+2.5 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-8.5% 20D RS)
2025-02-12,API & CDMO / CRAMS,29.7,-5.43,9.8,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-8.0% 20D RS)
2025-02-13,API & CDMO / CRAMS,27.4,-6.05,8.8,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-10.7% 20D RS)
2025-02-14,API & CDMO / CRAMS,14.7,-11.18,3.4,60D_STRUCTURAL,DISTRIBUTION,+Volume Accumulation (1.3x 20D avg),-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-13.7% 20D RS)
2025-02-17,API & CDMO / CRAMS,17.5,-10.5,3.9,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-15.6% 20D RS)
2025-02-18,API & CDMO / CRAMS,13.8,-11.28,3.4,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-15.5% 20D RS)
2025-02-19,API & CDMO / CRAMS,18.6,-9.56,4.6,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-14.2% 20D RS)
2025-02-20,API & CDMO / CRAMS,18.3,-9.25,4.9,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-14.6% 20D RS)
2025-02-21,API & CDMO / CRAMS,15.2,-8.25,5.8,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-13.0% 20D RS)
2025-02-24,API & CDMO / CRAMS,21.7,-6.04,8.8,60D_STRUCTURAL,LAGGING,+Strength Accelerating (+4.2 pts); +Volume Accumulation (1.4x 20D avg),-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-8.3% 20D RS)
2025-02-25,API & CDMO / CRAMS,20.7,-5.8,9.2,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+6.9 pts),-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-5.1% 20D RS)
2025-02-27,API & CDMO / CRAMS,15.2,-8.95,5.1,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-10.4% 20D RS)
2025-02-28,API & CDMO / CRAMS,16.1,-8.53,5.6,60D_STRUCTURAL,LAGGING,+Volume Accumulation (1.5x 20D avg),-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-14.6% 20D RS)
2025-03-03,API & CDMO / CRAMS,12.5,-9.47,4.7,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-15.9% 20D RS)
2025-03-04,API & CDMO / CRAMS,12.9,-10.49,3.9,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-14.6% 20D RS)
2025-03-05,API & CDMO / CRAMS,15.6,-9.18,4.9,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (0% > SMA50); -Underperforming NIFTY (-13.1% 20D RS)
2025-03-06,API & CDMO / CRAMS,19.0,-6.77,7.7,60D_STRUCTURAL,LAGGING,+Strength Accelerating (+3.8 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-13.1% 20D RS)
2025-03-07,API & CDMO / CRAMS,16.6,-7.93,6.2,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-12.9% 20D RS)
2025-03-10,API & CDMO / CRAMS,15.7,-7.67,6.5,60D_STRUCTURAL,LAGGING,+Strength Accelerating (+3.1 pts),-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-14.7% 20D RS)
2025-03-11,API & CDMO / CRAMS,18.4,-6.58,7.9,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+5.5 pts),-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-12.2% 20D RS)
2025-03-12,API & CDMO / CRAMS,21.4,-5.8,9.2,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+5.8 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-10.4% 20D RS)
2025-03-13,API & CDMO / CRAMS,20.2,-6.92,7.5,60D_STRUCTURAL,LAGGING,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-10.8% 20D RS)
2025-03-17,API & CDMO / CRAMS,27.1,-3.61,13.7,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+10.5 pts),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-9.7% 20D RS)
2025-03-18,API & CDMO / CRAMS,34.6,-1.0,21.5,5D_SHORT_TERM,LAGGING,+Strength Accelerating (+18.9 pts); +Volume Accumulation (1.8x 20D avg),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-2.8% 20D RS)
2025-03-19,API & CDMO / CRAMS,38.2,-0.12,24.9,5D_SHORT_TERM,NEUTRAL,+Strength Accelerating (+19.8 pts),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-1.2% 20D RS)
2025-03-20,API & CDMO / CRAMS,40.1,0.33,26.7,5D_SHORT_TERM,NEUTRAL,+Outperforming NIFTY (+0.6% 20D RS); +Strength Accelerating (+18.7 pts),-Weak Breadth Participation (33% > SMA50)
2025-03-21,API & CDMO / CRAMS,40.7,0.47,27.3,5D_SHORT_TERM,NEUTRAL,+Outperforming NIFTY (+1.9% 20D RS); +Strength Accelerating (+20.5 pts),-Weak Breadth Participation (33% > SMA50)
2025-03-24,API & CDMO / CRAMS,43.9,1.24,30.7,5D_SHORT_TERM,NEUTRAL,+Outperforming NIFTY (+2.9% 20D RS); +Strength Accelerating (+16.9 pts),-Weak Breadth Participation (44% > SMA50)
2025-03-25,API & CDMO / CRAMS,42.0,-0.58,23.1,5D_SHORT_TERM,NEUTRAL,+Outperforming NIFTY (+1.6% 20D RS); +Strength Accelerating (+7.4 pts),-Weak Breadth Participation (33% > SMA50)
2025-03-26,API & CDMO / CRAMS,39.3,-2.37,17.0,60D_STRUCTURAL,NEUTRAL,,-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-0.3% 20D RS)
2025-03-27,API & CDMO / CRAMS,44.2,-0.67,22.7,60D_STRUCTURAL,NEUTRAL,+Outperforming NIFTY (+1.5% 20D RS); +Strength Accelerating (+4.0 pts); +Volume Accumulation (1.6x 20D avg),-Weak Breadth Participation (33% > SMA50)
2025-03-28,API & CDMO / CRAMS,42.4,-1.53,19.7,60D_STRUCTURAL,NEUTRAL,+Outperforming NIFTY (+3.1% 20D RS),-Weak Breadth Participation (33% > SMA50)
2025-04-01,API & CDMO / CRAMS,42.8,-1.92,18.4,60D_STRUCTURAL,NEUTRAL,+Outperforming NIFTY (+5.2% 20D RS),-Weak Breadth Participation (22% > SMA50)
2025-04-02,API & CDMO / CRAMS,50.0,1.46,31.7,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+8.0% 20D RS); +Strength Accelerating (+8.0 pts),-Weak Breadth Participation (44% > SMA50)
2025-04-03,API & CDMO / CRAMS,55.2,3.94,44.3,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+7.8% 20D RS); +Strength Accelerating (+15.9 pts); +Volume Accumulation (2.2x 20D avg),-Weak Breadth Participation (44% > SMA50)
2025-04-04,API & CDMO / CRAMS,37.6,-4.17,12.4,60D_STRUCTURAL,WEAKENING,+Volume Accumulation (1.8x 20D avg),-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-1.3% 20D RS)
2025-04-07,API & CDMO / CRAMS,23.6,-9.02,5.1,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-6.8% 20D RS)
2025-04-08,API & CDMO / CRAMS,29.2,-7.44,6.8,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (22% > SMA50); -Underperforming NIFTY (-4.9% 20D RS)
2025-04-09,API & CDMO / CRAMS,25.8,-8.5,5.6,60D_STRUCTURAL,DISTRIBUTION,,-Weak Breadth Participation (11% > SMA50); -Underperforming NIFTY (-4.3% 20D RS)
2025-04-11,API & CDMO / CRAMS,43.8,-3.54,13.8,60D_STRUCTURAL,WEAKENING,+Outperforming NIFTY (+0.2% 20D RS); +Volume Accumulation (1.6x 20D avg),-Weak Breadth Participation (33% > SMA50); -Strength Decelerating (-11.4 pts)
2025-04-15,API & CDMO / CRAMS,54.9,3.89,44.0,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (67% > SMA50); +Outperforming NIFTY (+4.8% 20D RS); +Strength Accelerating (+17.4 pts),
2025-04-16,API & CDMO / CRAMS,61.4,5.43,52.3,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+6.7% 20D RS); +Strength Accelerating (+37.7 pts),
2025-04-17,API & CDMO / CRAMS,53.7,3.6,42.5,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (67% > SMA50); +Outperforming NIFTY (+7.2% 20D RS); +Strength Accelerating (+24.5 pts),
2025-04-21,API & CDMO / CRAMS,56.8,4.34,46.4,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+4.4% 20D RS); +Strength Accelerating (+31.0 pts),
2025-04-22,API & CDMO / CRAMS,56.0,3.64,42.7,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+2.3% 20D RS); +Strength Accelerating (+12.2 pts),
2025-04-23,API & CDMO / CRAMS,60.2,3.37,41.3,5D_SHORT_TERM,NEUTRAL,+Broad Industry Participation (89% > SMA50); +Outperforming NIFTY (+3.0% 20D RS); +Strength Accelerating (+5.2 pts),
2025-04-24,API & CDMO / CRAMS,67.9,5.48,52.6,5D_SHORT_TERM,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+2.1% 20D RS); +Strength Accelerating (+6.5 pts),
2025-04-25,API & CDMO / CRAMS,47.2,-1.86,18.6,60D_STRUCTURAL,WEAKENING,+Broad Industry Participation (67% > SMA50); +Volume Accumulation (1.7x 20D avg),-Underperforming NIFTY (-4.3% 20D RS); -Strength Decelerating (-6.6 pts)
