date,rank_ic,top_decile_return,bottom_decile_return
2025-01-07,0.11,-7.9559999999999995,-18.465999999999998
2025-01-08,0.11,-5.977999999999999,-15.738
2025-01-09,0.11,-4.643999999999999,-13.885
2025-01-10,0.11,-4.264999999999998,-11.692
2025-01-13,0.11,-1.6879999999999993,-9.062
2025-01-14,0.11,-6.744999999999999,-14.959
2025-01-15,0.11,-7.239,-16.014
2025-01-16,0.11,-8.282,-18.753
2025-01-17,0.11,-11.258,-21.641000000000002
2025-01-20,0.11,-12.051,-24.631999999999998
2025-01-21,0.11,-12.015,-25.638
2025-01-22,0.11,-8.846,-20.363
2025-01-23,0.11,-7.718,-18.864
2025-01-24,0.11,-6.72,-18.032
2025-01-27,0.11,-4.652999999999999,-14.982000000000001
2025-01-28,0.11,-4.21,-14.373
2025-01-29,0.11,-8.354999999999999,-19.663
2025-01-30,0.11,-11.792,-22.201
2025-01-31,0.11,-13.739,-25.767
2025-02-03,0.11,-11.834999999999999,-24.807000000000002
2025-02-04,0.11,-10.341,-21.894000000000002
2025-02-05,0.11,-10.214,-21.009
2025-02-06,0.11,-9.501,-20.171
2025-02-07,0.11,-10.925999999999998,-21.881
2025-02-10,0.11,-8.741,-20.773
2025-02-11,0.11,-4.98,-19.262
2025-02-12,0.11,-5.979,-18.668
2025-02-13,0.11,-5.909,-20.424999999999997
2025-02-14,0.11,-1.8579999999999974,-14.804
2025-02-17,0.11,1.3430000000000002,-10.322999999999999
2025-02-18,0.11,3.873000000000001,-8.164
2025-02-19,0.11,2.6340000000000017,-9.449
2025-02-20,0.11,2.5670000000000006,-9.812999999999999
2025-02-21,0.11,1.2370000000000005,-12.306999999999999
2025-02-24,0.11,0.5450000000000003,-11.478
2025-02-25,0.11,2.124,-11.992
2025-02-27,0.11,3.523,-10.604
2025-02-28,0.11,6.127000000000001,-5.625
2025-03-03,0.11,8.312000000000001,-2.4499999999999997
2025-03-04,0.11,7.916000000000001,-1.77
2025-03-05,0.11,1.8440000000000007,-6.958
2025-03-06,0.11,-2.614999999999999,-13.697
2025-03-07,0.11,-0.18399999999999833,-11.68
2025-03-10,0.11,2.039,-10.016
2025-03-11,0.11,3.6410000000000005,-6.399
2025-03-12,0.11,7.545,-2.1809999999999996
2025-03-13,0.11,8.702000000000002,-0.5459999999999997
2025-03-17,0.11,10.025,0.49000000000000005
2025-03-18,0.11,8.260000000000002,-0.10899999999999993
2025-03-19,0.11,6.298,-2.1919999999999997
2025-03-20,0.11,6.402,-3.585
2025-03-21,0.11,3.773,-4.335
2025-03-24,0.11,1.463,-9.029
2025-03-25,0.11,3.311,-6.191999999999999
2025-03-26,0.11,4.178000000000001,-4.248
2025-03-27,0.11,2.962,-6.691
2025-03-28,0.11,3.5060000000000002,-5.894
2025-04-01,0.11,3.574000000000001,-6.842
2025-04-02,0.11,1.0300000000000002,-9.599
2025-04-03,0.11,0.5250000000000012,-10.032
2025-04-04,0.11,1.2910000000000001,-7.994000000000001
2025-04-07,0.11,4.589,-4.542
2025-04-08,0.11,8.334999999999999,-1.1999999999999995
2025-04-09,0.11,9.940999999999999,-0.051
2025-04-11,0.11,9.199000000000002,-1.054
2025-04-15,0.11,6.4670000000000005,-3.79
2025-04-16,0.11,7.218,-3.682
2025-04-17,0.11,6.727000000000001,-2.5649999999999995
2025-04-21,0.11,3.0270000000000006,-5.654999999999999
2025-04-22,0.11,3.4800000000000004,-5.523000000000001
2025-04-23,0.11,2.552,-6.0
2025-04-24,0.11,2.5330000000000013,-5.058
2025-04-25,0.11,6.659000000000001,-1.6969999999999998
2025-04-28,0.11,6.883,-1.7049999999999998
2025-04-29,0.11,7.243,-1.3780000000000001
2025-04-30,0.11,8.895000000000001,-0.002999999999999954
2025-05-02,0.11,9.029,0.26500000000000007
2025-05-05,0.11,8.748,-0.539
2025-05-06,0.11,11.32,1.14
2025-05-07,0.11,10.82,0.15
2025-05-08,0.11,11.53,2.27
2025-05-09,0.11,12.89,2.84
2025-05-12,0.11,8.96,0.01
2025-05-13,0.11,7.37,-0.72
2025-05-14,0.11,5.39,-1.41
2025-05-15,0.11,2.45,-3.31
2025-05-16,0.11,0.84,-5.6
2025-05-19,0.11,0.44,-6.91
2025-05-20,0.11,0.82,-5.84
2025-05-21,0.11,-1.16,-7.0
2025-05-22,0.11,-2.08,-8.26
2025-05-23,0.11,-2.46,-7.82
2025-05-26,0.11,-2.64,-8.67
2025-05-27,0.11,-1.57,-7.56
2025-05-28,0.11,-0.54,-6.07
2025-05-29,0.11,-0.91,-6.24
2025-05-30,0.11,0.63,-5.95
2025-06-02,0.11,1.14,-5.46
2025-06-03,0.11,0.83,-5.68
2025-06-04,0.11,0.69,-6.29
2025-06-05,0.11,0.65,-6.31
2025-06-06,0.11,-0.15,-5.93
2025-06-09,0.11,-1.15,-8.41
2025-06-10,0.11,-1.74,-8.43
2025-06-11,0.11,-1.58,-8.2
2025-06-12,0.11,-0.47,-6.14
2025-06-13,0.11,-0.76,-6.15
2025-06-16,0.11,-0.52,-5.99
2025-06-17,0.11,0.75,-5.1
2025-06-18,0.11,1.38,-3.93
