date,market_regime,active_industries,avg_strength
2025-03-07,WEAK_BEAR,70,20.97114285714286
2025-03-10,WEAK_BEAR,70,19.098
2025-03-11,WEAK_BEAR,70,20.576
2025-03-12,WEAK_BEAR,70,21.87242857142857
2025-03-13,WEAK_BEAR,70,21.69142857142857
2025-03-17,WEAK_BEAR,70,22.569142857142857
2025-03-18,WEAK_BEAR,70,28.93114285714286
2025-03-19,WEAK_BEAR,70,34.244285714285716
2025-03-20,WEAK_BEAR,70,38.16328571428571
2025-03-21,WEAK_BEAR,70,40.764714285714284
2025-03-24,WEAK_BEAR,70,41.28228571428572
2025-03-25,WEAK_BEAR,70,38.61028571428571
2025-03-26,WEAK_BEAR,70,36.114428571428576
2025-03-27,WEAK_BEAR,70,40.23957142857143
2025-03-28,WEAK_BEAR,70,39.48728571428572
2025-04-01,WEAK_BEAR,70,42.34214285714285
2025-04-02,WEAK_BEAR,70,46.736285714285714
2025-04-03,SIDEWAYS,70,49.14042857142857
2025-04-04,WEAK_BEAR,70,38.889
2025-04-07,WEAK_BEAR,70,28.029
2025-04-08,WEAK_BEAR,70,31.47842857142857
2025-04-09,WEAK_BEAR,70,31.330714285714286
2025-04-11,WEAK_BEAR,70,39.453
2025-04-15,SIDEWAYS,70,47.83457142857143
2025-04-16,WEAK_BULL,70,52.35628571428572
2025-04-17,WEAK_BULL,70,54.964571428571425
2025-04-21,WEAK_BULL,70,56.959714285714284
2025-04-22,WEAK_BULL,70,57.90985714285714
2025-04-23,WEAK_BULL,70,58.54571428571428
2025-04-24,WEAK_BULL,70,57.52042857142857
2025-04-25,WEAK_BULL,70,48.96485714285714
2025-04-28,WEAK_BULL,70,50.99242857142857
2025-04-29,WEAK_BULL,70,52.60157142857143
2025-04-30,WEAK_BULL,70,47.049571428571426
2025-05-02,WEAK_BULL,70,46.936571428571426
2025-05-05,WEAK_BULL,70,49.46342857142857
2025-05-06,SIDEWAYS,71,39.99352112676056
2025-05-07,WEAK_BULL,71,40.940704225352114
2025-05-08,SIDEWAYS,71,40.99845070422535
2025-05-09,SIDEWAYS,71,43.25802816901409
2025-05-12,WEAK_BULL,71,58.48845070422536
2025-05-13,WEAK_BULL,71,61.82394366197183
2025-05-14,WEAK_BULL,71,63.22098591549295
2025-05-15,WEAK_BULL,71,63.59492957746478
2025-05-16,WEAK_BULL,71,64.67450704225352
2025-05-19,WEAK_BULL,71,66.69422535211268
2025-05-20,WEAK_BULL,71,61.952676056338035
2025-05-21,WEAK_BULL,71,61.9830985915493
2025-05-22,WEAK_BULL,71,60.93873239436619
2025-05-23,WEAK_BULL,71,63.57591549295775
2025-05-26,WEAK_BULL,71,66.26535211267606
2025-05-27,WEAK_BULL,71,65.5243661971831
2025-05-28,WEAK_BULL,71,65.58169014084507
2025-05-29,WEAK_BULL,71,66.85859154929578
2025-05-30,WEAK_BULL,71,67.10619718309859
2025-06-02,WEAK_BULL,71,64.87859154929578
2025-06-03,WEAK_BULL,71,65.48323943661973
2025-06-04,WEAK_BULL,71,64.81859154929577
2025-06-05,WEAK_BULL,71,66.92309859154929
2025-06-06,WEAK_BULL,71,69.39014084507042
2025-06-09,WEAK_BULL,71,68.82661971830986
2025-06-10,WEAK_BULL,71,68.90225352112677
2025-06-11,WEAK_BULL,71,68.84633802816901
2025-06-12,WEAK_BULL,71,62.12492957746479
2025-06-13,WEAK_BULL,71,57.446478873239435
2025-06-16,WEAK_BULL,71,56.11732394366197
2025-06-17,WEAK_BULL,71,54.555915492957745
2025-06-18,WEAK_BULL,71,52.28492957746479
