symbol,old_sector,old_industry,new_sector,new_industry,classification_changed,reason,confidence
AATMAJ,INDUSTRIAL MACHINERY,"Pumps, Compressors & Fluid Handling",HEALTHCARE SERVICES,Hospitals & Healthcare Chains,True,"Reclassified from legacy 'INDUSTRIAL MACHINERY / Pumps, Compressors & Fluid Handling' to clean economic model 'HEALTHCARE SERVICES / Hospitals & Healthcare Chains'",HIGH
AAVAS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FINANCE & NBFC,Housing Finance (HFC),True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FINANCE & NBFC / Housing Finance (HFC)',HIGH
ABAN,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,OIL & GAS,Refining & Petrochemicals,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'OIL & GAS / Refining & Petrochemicals',HIGH
ABANSENT,IT SERVICES,Mid-Tier IT Services & Digital Consulting,CAPITAL MARKETS,Stockbroking & Wealth Management,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'CAPITAL MARKETS / Stockbroking & Wealth Management',HIGH
ABB,ELECTRICAL EQUIPMENT,"Heavy Switchgear, Automation & Drives",ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,True,"Reclassified from legacy 'ELECTRICAL EQUIPMENT / Heavy Switchgear, Automation & Drives' to clean economic model 'ELECTRICAL EQUIPMENT / Heavy Switchgear & Automation'",HIGH
ABBOTINDIA,PHARMACEUTICALS,Finished Dosage Formulations,STEEL,Secondary Steel & TMT Rebars,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'STEEL / Secondary Steel & TMT Rebars',HIGH
ABCAPITAL,NBFC & LENDING,Corporate & Specialized Lending NBFCs,PHARMACEUTICALS,API & Bulk Drugs,True,Reclassified from legacy 'NBFC & LENDING / Corporate & Specialized Lending NBFCs' to clean economic model 'PHARMACEUTICALS / API & Bulk Drugs',HIGH
ABCOTS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
ABDL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,DEFENCE & AEROSPACE,Missiles & Military Explosives,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'DEFENCE & AEROSPACE / Missiles & Military Explosives',HIGH
ABFRL,RETAIL,Apparel & Department Stores,TEXTILES,Garments & Apparel Exports,True,Reclassified from legacy 'RETAIL / Apparel & Department Stores' to clean economic model 'TEXTILES / Garments & Apparel Exports',HIGH
ABHAPOWER,POWER,Power Transmission & Distribution EPC,POWER,Conventional Thermal & Fossil Power,True,Reclassified from legacy 'POWER / Power Transmission & Distribution EPC' to clean economic model 'POWER / Conventional Thermal & Fossil Power',HIGH
ABINFRA,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Roads & Highways EPC',HIGH
ABLBL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',MEDIUM
ABMINTLLTD,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',HIGH
ABMKNO,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IT SERVICES,Enterprise Software & SaaS,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'IT SERVICES / Enterprise Software & SaaS',HIGH
ABREL,REAL ESTATE,Residential Real Estate Developers,REAL ESTATE,Residential Real Estate,True,Reclassified from legacy 'REAL ESTATE / Residential Real Estate Developers' to clean economic model 'REAL ESTATE / Residential Real Estate',HIGH
ABSLAMC,CAPITAL MARKETS,Asset Management Companies (AMC),CAPITAL MARKETS,Stockbroking & Wealth Management,True,Reclassified from legacy 'CAPITAL MARKETS / Asset Management Companies (AMC)' to clean economic model 'CAPITAL MARKETS / Stockbroking & Wealth Management',HIGH
ABSMARINE,SHIPBUILDING & PORTS,Offshore Marine Support Vessels & Ship Logistics,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,True,Reclassified from legacy 'SHIPBUILDING & PORTS / Offshore Marine Support Vessels & Ship Logistics' to clean economic model 'SHIPBUILDING & PORTS / Marine Offshore Vessels & Tugs',HIGH
ACC,CEMENT,Pan-India Large Integrated Cement,CEMENT,Integrated Grey Cement,True,Reclassified from legacy 'CEMENT / Pan-India Large Integrated Cement' to clean economic model 'CEMENT / Integrated Grey Cement',HIGH
ACCELYA,CEMENT,Regional Grey & Specialty Cement,IT SERVICES,Enterprise Software & SaaS,True,Reclassified from legacy 'CEMENT / Regional Grey & Specialty Cement' to clean economic model 'IT SERVICES / Enterprise Software & SaaS',HIGH
ACCENTMIC,EMS & ELECTRONICS,Electronic Manufacturing Services (EMS),PHARMACEUTICALS,API & Bulk Drugs,True,Reclassified from legacy 'EMS & ELECTRONICS / Electronic Manufacturing Services (EMS)' to clean economic model 'PHARMACEUTICALS / API & Bulk Drugs',HIGH
ACCPL,CEMENT,Regional Grey & Specialty Cement,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,True,Reclassified from legacy 'CEMENT / Regional Grey & Specialty Cement' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Construction',HIGH
ACCURACY,LOGISTICS & SUPPLY CHAIN,3PL Integrated Supply Chain & Surface Transport,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,True,Reclassified from legacy 'LOGISTICS & SUPPLY CHAIN / 3PL Integrated Supply Chain & Surface Transport' to clean economic model 'SHIPBUILDING & PORTS / Marine Offshore Vessels & Tugs',HIGH
ACE,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'CAPITAL GOODS & MACHINERY / Heavy Process Equipment & Machinery',HIGH
ACEINTEG,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
ACGL,AUTO,Commercial Vehicles (Trucks & Buses),AUTOMOBILE,Commercial Vehicles (Trucks & Buses),True,Reclassified from legacy 'AUTO / Commercial Vehicles (Trucks & Buses)' to clean economic model 'AUTOMOBILE / Commercial Vehicles (Trucks & Buses)',HIGH
ACI,CHEMICALS,Basic Organic & Inorganic Chemicals,CHEMICALS,Industrial & Basic Chemicals,True,Reclassified from legacy 'CHEMICALS / Basic Organic & Inorganic Chemicals' to clean economic model 'CHEMICALS / Industrial & Basic Chemicals',HIGH
ACL,CEMENT,Regional Grey & Specialty Cement,CEMENT,Regional Cement & RMC,True,Reclassified from legacy 'CEMENT / Regional Grey & Specialty Cement' to clean economic model 'CEMENT / Regional Cement & RMC',HIGH
ACMESOLAR,RENEWABLE ENERGY,"Solar PV Cells, Modules & Solar Glass",RENEWABLE ENERGY,Solar PV & Green Hydrogen,True,"Reclassified from legacy 'RENEWABLE ENERGY / Solar PV Cells, Modules & Solar Glass' to clean economic model 'RENEWABLE ENERGY / Solar PV & Green Hydrogen'",HIGH
ACSTECH,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
ACTIVEINFR,REAL ESTATE,Residential Real Estate Developers,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,True,Reclassified from legacy 'REAL ESTATE / Residential Real Estate Developers' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Construction',HIGH
ACUTAAS,CHEMICALS,Basic Organic & Inorganic Chemicals,CHEMICALS,Industrial & Basic Chemicals,True,Reclassified from legacy 'CHEMICALS / Basic Organic & Inorganic Chemicals' to clean economic model 'CHEMICALS / Industrial & Basic Chemicals',HIGH
ADANIENSOL,POWER,Regional Thermal & Hydro Generation,POWER,Conventional Thermal & Fossil Power,True,Reclassified from legacy 'POWER / Regional Thermal & Hydro Generation' to clean economic model 'POWER / Conventional Thermal & Fossil Power',HIGH
ADANIENT,EDIBLE OILS,Edible Oil Refining & Packaging,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'EDIBLE OILS / Edible Oil Refining & Packaging' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',HIGH
ADANIGREEN,POWER,Regional Thermal & Hydro Generation,RENEWABLE ENERGY,Green Energy Generation (IPP),True,Reclassified from legacy 'POWER / Regional Thermal & Hydro Generation' to clean economic model 'RENEWABLE ENERGY / Green Energy Generation (IPP)',HIGH
ADANIPORTS,SHIPBUILDING & PORTS,Commercial Ports & Marine Terminals,SHIPBUILDING & PORTS,Commercial Ports & Terminals,True,Reclassified from legacy 'SHIPBUILDING & PORTS / Commercial Ports & Marine Terminals' to clean economic model 'SHIPBUILDING & PORTS / Commercial Ports & Terminals',HIGH
ADANIPOWER,POWER,Power Transmission & Distribution EPC,POWER,Conventional Thermal & Fossil Power,True,Reclassified from legacy 'POWER / Power Transmission & Distribution EPC' to clean economic model 'POWER / Conventional Thermal & Fossil Power',HIGH
ADDICTIVE,MEDIA & ENTERTAINMENT,Print Media & Publishing,MEDIA & ENTERTAINMENT,Print Media & Publishing,False,Refined into crisp 2-tier Sector + Industry framework,HIGH
ADDIND,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL MARKETS,Exchange Traded Funds (ETF),True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL MARKETS / Exchange Traded Funds (ETF)',HIGH
ADFFOODS,RICE,Non-Basmati & Regional Rice Processing,FOOD PROCESSING,Packaged Foods & Snacks,True,Reclassified from legacy 'RICE / Non-Basmati & Regional Rice Processing' to clean economic model 'FOOD PROCESSING / Packaged Foods & Snacks',HIGH
ADISOFT,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
ADL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',MEDIUM
ADOR,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL GOODS & MACHINERY,Industrial Abrasives & Ceramics,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL GOODS & MACHINERY / Industrial Abrasives & Ceramics',HIGH
ADROITINFO,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
ADSL,PROFESSIONAL & BPO SERVICES,"Staffing, Facility & Security Services",IT SERVICES,Mid-Tier IT & Digital Solutions,True,"Reclassified from legacy 'PROFESSIONAL & BPO SERVICES / Staffing, Facility & Security Services' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions'",HIGH
ADVAIT,POWER,Regional Thermal & Hydro Generation,RENEWABLE ENERGY,Solar PV & Green Hydrogen,True,Reclassified from legacy 'POWER / Regional Thermal & Hydro Generation' to clean economic model 'RENEWABLE ENERGY / Solar PV & Green Hydrogen',HIGH
ADVANCE,RICE,Non-Basmati & Regional Rice Processing,AGRICULTURE & AGROCHEMICALS,Crop Protection Formulations,True,Reclassified from legacy 'RICE / Non-Basmati & Regional Rice Processing' to clean economic model 'AGRICULTURE & AGROCHEMICALS / Crop Protection Formulations',HIGH
ADVANIHOTR,HOTELS & HOSPITALITY,"Luxury, Business & Boutique Hotels",HOTELS & HOSPITALITY,Luxury Hotels & Resorts,True,"Reclassified from legacy 'HOTELS & HOSPITALITY / Luxury, Business & Boutique Hotels' to clean economic model 'HOTELS & HOSPITALITY / Luxury Hotels & Resorts'",HIGH
ADVENTHTL,HOTELS & HOSPITALITY,"Luxury, Business & Boutique Hotels",HOTELS & HOSPITALITY,Luxury Hotels & Resorts,True,"Reclassified from legacy 'HOTELS & HOSPITALITY / Luxury, Business & Boutique Hotels' to clean economic model 'HOTELS & HOSPITALITY / Luxury Hotels & Resorts'",HIGH
ADVENZYMES,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
ADVIKCA,NBFC & LENDING,Corporate & Specialized Lending NBFCs,PHARMACEUTICALS,API & Bulk Drugs,True,Reclassified from legacy 'NBFC & LENDING / Corporate & Specialized Lending NBFCs' to clean economic model 'PHARMACEUTICALS / API & Bulk Drugs',HIGH
AEGISLOG,LOGISTICS & SUPPLY CHAIN,3PL Integrated Supply Chain & Surface Transport,LOGISTICS & SUPPLY CHAIN,3PL Logistics & Fleet Haulage,True,Reclassified from legacy 'LOGISTICS & SUPPLY CHAIN / 3PL Integrated Supply Chain & Surface Transport' to clean economic model 'LOGISTICS & SUPPLY CHAIN / 3PL Logistics & Fleet Haulage',HIGH
AEGISVOPAK,SHIPBUILDING & PORTS,Dredging & Marine Civil Infrastructure,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'SHIPBUILDING & PORTS / Dredging & Marine Civil Infrastructure' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',MEDIUM
AEPL,CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),False,Refined into crisp 2-tier Sector + Industry framework,HIGH
AEQUS,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',MEDIUM
AEROENTER,IT SERVICES,Mid-Tier IT Services & Digital Consulting,STEEL,Steel Pipes & Tubes,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'STEEL / Steel Pipes & Tubes',HIGH
AEROFLEX,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,STEEL,Steel Pipes & Tubes,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'STEEL / Steel Pipes & Tubes',HIGH
AERON,DEFENCE,Military Aircraft & Aerospace Systems,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,True,Reclassified from legacy 'DEFENCE / Military Aircraft & Aerospace Systems' to clean economic model 'DEFENCE & AEROSPACE / Aerospace & Fighter Aircraft',HIGH
AERONEU,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,STEEL,Steel Pipes & Tubes,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'STEEL / Steel Pipes & Tubes',HIGH
AEROPLANE,SHIPBUILDING & PORTS,Dredging & Marine Civil Infrastructure,RICE,Basmati Rice & Exports,True,Reclassified from legacy 'SHIPBUILDING & PORTS / Dredging & Marine Civil Infrastructure' to clean economic model 'RICE / Basmati Rice & Exports',HIGH
AESTHETIK,METALS & FABRICATION,Precision Metal Fabrication & Structures,BUILDING MATERIALS,Architectural Glass & Windows,True,Reclassified from legacy 'METALS & FABRICATION / Precision Metal Fabrication & Structures' to clean economic model 'BUILDING MATERIALS / Architectural Glass & Windows',HIGH
AETHER,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',MEDIUM
AFCONS,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Construction',HIGH
AFFLE,IT SERVICES,Enterprise Software Products & SaaS,COMMERCIAL TRADING,Commodity & Wholesale Trading,True,Reclassified from legacy 'IT SERVICES / Enterprise Software Products & SaaS' to clean economic model 'COMMERCIAL TRADING / Commodity & Wholesale Trading',MEDIUM
AFFORDABLE,AUTO ANCILLARIES,General Auto Components,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,True,Reclassified from legacy 'AUTO ANCILLARIES / General Auto Components' to clean economic model 'ELECTRICAL EQUIPMENT / Heavy Switchgear & Automation',HIGH
AFIL,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FINANCE & NBFC,Diversified Consumer & MSME NBFC,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FINANCE & NBFC / Diversified Consumer & MSME NBFC',HIGH
AFSL,NBFC & LENDING,Corporate & Specialized Lending NBFCs,FINANCE & NBFC,Corporate & Wholesale Finance,True,Reclassified from legacy 'NBFC & LENDING / Corporate & Specialized Lending NBFCs' to clean economic model 'FINANCE & NBFC / Corporate & Wholesale Finance',HIGH
AGARIND,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,OIL & GAS,Lubricants & Specialty Oils,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'OIL & GAS / Lubricants & Specialty Oils',HIGH
AGARWALEYE,AUTO,Commercial Vehicles (Trucks & Buses),PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'AUTO / Commercial Vehicles (Trucks & Buses)' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
AGARWALTUF,BUILDING MATERIALS,Architectural Glass & Building Solutions,BUILDING MATERIALS,Architectural Glass & Windows,True,Reclassified from legacy 'BUILDING MATERIALS / Architectural Glass & Building Solutions' to clean economic model 'BUILDING MATERIALS / Architectural Glass & Windows',HIGH
AGI,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,PAPER & PACKAGING,Moulded Plastics & Packaging,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'PAPER & PACKAGING / Moulded Plastics & Packaging',HIGH
