symbol,industry,basic_industry,action
VIDYAWIRES,Capital Goods,Wires & Cables,SET
RAJRATAN,Capital Goods,Wires & Cables,SET
HATHWAY,Capital Goods,Wires & Cables,SET
DIAMINESQ,Capital Goods,Wires & Cables,SET

# Industrial & Automotive Lubricants & Specialty Oils
CASTROLIND,Oil Gas & Consumable Fuels,Lubricants & Specialty Oils,SET
GULFOILLUB,Oil Gas & Consumable Fuels,Lubricants & Specialty Oils,SET
SOTL,Oil Gas & Consumable Fuels,Lubricants & Specialty Oils,SET
TIDEWATER,Oil Gas & Consumable Fuels,Lubricants & Specialty Oils,SET
GPIL,Oil Gas & Consumable Fuels,Lubricants & Specialty Oils,SET

# Bearings & Friction Solutions
SKFINDIA,Capital Goods,Bearings & Friction Solutions,SET
TIMKEN,Capital Goods,Bearings & Friction Solutions,SET
SCHAEFFLER,Capital Goods,Bearings & Friction Solutions,SET
NRBBEARING,Capital Goods,Bearings & Friction Solutions,SET
MENONBE,Capital Goods,Bearings & Friction Solutions,SET
BIMETAL,Capital Goods,Bearings & Friction Solutions,SET
NIBL,Capital Goods,Bearings & Friction Solutions,SET
SKFINDUS,Capital Goods,Bearings & Friction Solutions,SET
GOKUL,Capital Goods,Bearings & Friction Solutions,SET

# Pumps & Compressors
WPIL,Capital Goods,Pumps & Compressors,SET
ELGIEQUIP,Capital Goods,Pumps & Compressors,SET
KSB,Capital Goods,Pumps & Compressors,SET
KIRLOSBROS,Capital Goods,Pumps & Compressors,SET
KIRLOSENG,Capital Goods,Pumps & Compressors,SET
ROTO,Capital Goods,Pumps & Compressors,SET
SHAKTIPUMP,Capital Goods,Pumps & Compressors,SET
OSWALPUMPS,Capital Goods,Pumps & Compressors,SET
KIRLPNU,Capital Goods,Pumps & Compressors,SET

# Steel Pipes, Tubes & Ductile Iron
MANINDS,Metals & Mining,Pipes & Tubes,SET
INDIANHUME,Metals & Mining,Pipes & Tubes,SET
JTLIND,Metals & Mining,Pipes & Tubes,SET
MAHSEAMLES,Metals & Mining,Pipes & Tubes,SET
SAMBHV,Metals & Mining,Pipes & Tubes,SET
APOLLOPIPE,Metals & Mining,Pipes & Tubes,SET
HITECH,Metals & Mining,Pipes & Tubes,SET
VENUSPIPES,Metals & Mining,Pipes & Tubes,SET
PPL,Metals & Mining,Pipes & Tubes,SET
GANDHITUBE,Metals & Mining,Pipes & Tubes,SET
RAMASTEEL,Metals & Mining,Pipes & Tubes,SET
SURYAROSNI,Metals & Mining,Pipes & Tubes,SET
HARIOMPIPE,Metals & Mining,Pipes & Tubes,SET
TEXMOPIPES,Metals & Mining,Pipes & Tubes,SET
WELSPUNCORP,Metals & Mining,Pipes & Tubes,SET
RATNAMANI,Metals & Mining,Pipes & Tubes,SET

# Transformers & Power T&D Equipment
TRIL,Capital Goods,Transformers & T&D Equipment,SET
VOLTAMP,Capital Goods,Transformers & T&D Equipment,SET
BHEL,Capital Goods,Transformers & T&D Equipment,SET
SIEMENS,Capital Goods,Transformers & T&D Equipment,SET
ABB,Capital Goods,Transformers & T&D Equipment,SET
CGPOWER,Capital Goods,Transformers & T&D Equipment,SET
SCHNEIDER,Capital Goods,Transformers & T&D Equipment,SET
GEPIL,Capital Goods,Transformers & T&D Equipment,SET
JYOTISTRUC,Capital Goods,Transformers & T&D Equipment,SET

# Aerospace, Defense & Shipyards
BEL,Capital Goods,Aerospace & Defence,SET
HAL,Capital Goods,Aerospace & Defence,SET
BDL,Capital Goods,Aerospace & Defence,SET
MAZDOCK,Capital Goods,Ship Building & Defence,SET
COCHINSHIP,Capital Goods,Ship Building & Defence,SET
GRSE,Capital Goods,Ship Building & Defence,SET
DATAPATTNS,Capital Goods,Aerospace & Defence,SET
ASTRAMICRO,Capital Goods,Aerospace & Defence,SET
PARAS,Capital Goods,Aerospace & Defence,SET
MTARTECH,Capital Goods,Aerospace & Defence,SET
ZENITH,Capital Goods,Aerospace & Defence,SET
SOLARINDS,Chemicals,Explosives & Defence Chemicals,SET
PREMEXPLN,Chemicals,Explosives & Defence Chemicals,SET

# Railways
TITAGARH,Capital Goods,Railway Wagons & Equipment,SET
JWL,Capital Goods,Railway Wagons & Equipment,SET
TEXRAIL,Capital Goods,Railway Wagons & Equipment,SET
RITES,Services,Railway Infrastructure & Consulting,SET
RVNL,Construction,Railway Infrastructure,SET
IRFC,Financial Services,Railway Financing,SET
IRCTC,Consumer Services,Railway Ticketing & Catering,SET
IRCON,Construction,Railway Infrastructure,SET
RAILTEL,Telecommunication,Railway Telecom,SET

# Batteries
EXIDEIND,Automobile and Auto Components,Batteries,SET
AMARAJABAT,Automobile and Auto Components,Batteries,SET
HBLPOWER,Automobile and Auto Components,Batteries & Power Systems,SET
EVEREADY,Fast Moving Consumer Goods,Batteries,SET

# Paints
ASIANPAINT,Consumer Durables,Paints,SET
BERGEPAINT,Consumer Durables,Paints,SET
KANSAINER,Consumer Durables,Paints,SET
INDIGOPNTS,Consumer Durables,Paints,SET
AKZOINDIA,Consumer Durables,Paints,SET
