symbol,company_name,sme_status,current_sector,current_industry,proposed_sector,proposed_industry,classification_confidence,change_required,reason,risk_score
AKUMS,Akums Drugs and Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ALIVUS,Alivus Life Sciences Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ALKEM,Alkem Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ALLCARGO,Allcargo Logistics Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ALPA,Alpa Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AMAGI,Amagi Media Labs Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AMANTA,Amanta Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ANUHPHR,Anuh Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
APLLTD,Alembic Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ARKADE,Arkade Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ARVEE,Arvee Laboratories (India) Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ASTRAZEN,AstraZeneca Pharma India Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ATL,Allcargo Terminals Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AUROPHARMA,Aurobindo Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AVALON,Avalon Technologies Limited,NON_SME,EMS & ELECTRONICS,Commercial & Industrial Electronics EMS,EMS & ELECTRONICS,Commercial & Industrial Electronics EMS,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AXISCADES,AXISCADES Technologies Limited,NON_SME,IT SERVICES,Engineering R&D (ER&D),IT SERVICES,Engineering R&D (ER&D),HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BAFNAPH,Bafna Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BAGFILMS,B.A.G Films and Media Limited,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BAJAJHCARE,Bajaj Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BALAJITELE,Balaji Telefilms Limited,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BALAXI,BALAXI PHARMACEUTICALS LIMITED,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BALPHARMA,Bal Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BANKA,Banka BioLoo Limited,NON_SME,WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BETA,Beta Drugs Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BIRLAPREC,Birla Precision Technologies Limited,NON_SME,AUTO ANCILLARIES,Precision Bearings & Motion Controls,AUTO ANCILLARIES,Precision Bearings & Motion Controls,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BLISSGVS,Bliss GVS Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BLUEJET,Blue Jet Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BROOKS,Brooks Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
BTML,Bodhi Tree Multimedia Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CAPILLARY,Capillary Technologies India Limited,NON_SME,PHARMACEUTICALS,API & Bulk Drugs,PHARMACEUTICALS,API & Bulk Drugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CAPITALSFB,Capital Small Finance Bank Limited,NON_SME,PHARMACEUTICALS,API & Bulk Drugs,PHARMACEUTICALS,API & Bulk Drugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CAPLIPOINT,Caplin Point Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CHEMBOND,Chembond Material Technologies Limited,NON_SME,CHEMICALS,Industrial & Basic Chemicals,CHEMICALS,Industrial & Basic Chemicals,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CMLL,Caliber Mining and Logistics Limited,NON_SME,STEEL,Secondary Steel & TMT Rebars,STEEL,Secondary Steel & TMT Rebars,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CMRGREEN,CMR Green Technologies Limited,NON_SME,METALS & FABRICATION,Aluminium Recycling & Secondary Metals,METALS & FABRICATION,Aluminium Recycling & Secondary Metals,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
CYBERMEDIA,Cyber Media (India) Limited,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DATAPATTNS,Data Patterns (India) Limited,NON_SME,DEFENCE & AEROSPACE,Defence Electronics & Radars,DEFENCE & AEROSPACE,Defence Electronics & Radars,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DIGISPICE,DiGiSPICE Technologies Limited,NON_SME,FOOD PROCESSING,Packaged Foods & Snacks,FOOD PROCESSING,Packaged Foods & Snacks,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DIVISLAB,Divi's Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DIXON,Dixon Technologies (India) Limited,NON_SME,EMS & ELECTRONICS,Domestic Consumer Appliance EMS (AC/TV/Washing Machines),EMS & ELECTRONICS,Domestic Consumer Appliance EMS (AC/TV/Washing Machines),HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DJML,DJ Mediaprint & Logistics Limited,NON_SME,LOGISTICS & SUPPLY CHAIN,3PL Logistics & Fleet Haulage,LOGISTICS & SUPPLY CHAIN,3PL Logistics & Fleet Haulage,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DNAMEDIA,Diligent Media Corporation Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DRREDDY,Dr. Reddy's Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DSKULKARNI,DS Kulkarni Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
DYNAMATECH,Dynamatic Technologies Limited,NON_SME,DEFENCE & AEROSPACE,Defence Electronics & Avionics,DEFENCE & AEROSPACE,Defence Electronics & Avionics,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
EASTWEST,East West Freight Carriers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
EMCURE,Emcure Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ENDURANCE,Endurance Technologies Limited,NON_SME,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ENIL,Entertainment Network (India) Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ENTERO,Entero Healthcare Solutions Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
EPACKPEB,EPack Prefab Technologies Limited,NON_SME,BUILDING MATERIALS,Pre-Engineered Steel Buildings,BUILDING MATERIALS,Pre-Engineered Steel Buildings,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ESSARSHPNG,Essar Shipping Limited,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
FISCHER,Fischer Medical Ventures Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
FORTIS,Fortis Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
FREDUN,Fredun Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
GESHIP,The Great Eastern Shipping Company Limited,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
GLAND,Gland Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
GLENMARK,Glenmark Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
GPTHEALTH,GPT Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HAPPSTMNDS,Happiest Minds Technologies Limited,NON_SME,PROFESSIONAL & CONSUMER SERVICES,Consumer Internet & Super Apps,PROFESSIONAL & CONSUMER SERVICES,Consumer Internet & Super Apps,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HATHWAY,Hathway Cable & Datacom Limited,NON_SME,CONSUMER ELECTRICALS,Wires & Cables,CONSUMER ELECTRICALS,Wires & Cables,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HBESD,HB Estate Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HCG,Healthcare Global Enterprises Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HDIL,Housing Development and Infrastructure Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HMVL,Hindustan Media Ventures Limited,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HTMEDIA,HT Media Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
IKIO,IKIO Technologies Limited,NON_SME,CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
IMAGICAA,Imagicaaworld Entertainment Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
INDRAMEDCO,Indraprastha Medical Corporation Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
INDSWFTLAB,Ind-Swift Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
INFOMEDIA,Infomedia Press Limited,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
IOLCP,IOL Chemicals and Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
IPCALAB,IPCA Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
IRB,IRB Infrastructure Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
JENBURPH,Jenburkt Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
JHS,JHS Svendgaard Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
JINDALPOLY,Jindal Poly Films Limited,NON_SME,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,MEDIA & ENTERTAINMENT,Music Labels & VFX Studios,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
JITFINFRA,JITF Infralogistics Limited,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,NON_SME,CONSUMER ELECTRICALS,Wires & Cables,CONSUMER ELECTRICALS,Wires & Cables,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
KFINTECH,Kfin Technologies Limited,NON_SME,CAPITAL MARKETS,Mutual Fund Registrar & Transfer Agent,CAPITAL MARKETS,Mutual Fund Registrar & Transfer Agent,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
KILITCH,Kilitch Drugs (India) Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
KIMS,Krishna Institute of Medical Sciences Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
KOLTEPATIL,Kolte - Patil Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
KPL,Kwality Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
LINCOLN,Lincoln Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
LODHA,Lodha Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
LOTUSDEV,Sri Lotus Developers and Realty Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
LUMAXTECH,Lumax Auto Technologies Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MAHLIFE,Mahindra Lifespace Developers Limited,NON_SME,REAL ESTATE,Residential Townships & Commercial REITs,REAL ESTATE,Residential Townships & Commercial REITs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MAKERSL,Makers Laboratories Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MANGALAM,Mangalam Drugs And Organics Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MANKIND,Mankind Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MARKOLINES,Markolines Pavement Technologies Limited,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MARKSANS,Marksans Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MAXESTATES,Max Estates Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,REAL ESTATE,Commercial Office & Mixed-Use Real Estate,HIGH,CORRECTED,Max Estates Ltd is a real estate developer (commercial and office spaces in Delhi NCR / Max Group). Name 'Estates' and parent group Max Group confirm real estate business. Zero connection to tea or coffee.,65
MAXHEALTH,Max Healthcare Institute Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MEDIASSIST,Medi Assist Healthcare Services Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
MEP,MEP Infrastructure Developers Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
METROPOLIS,Metropolis Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
