symbol,company_name,exchange,series,sme_status,sector,industry,primary_industry,secondary_sectors,secondary_industries,classification_source,classification_confidence,verification_status
AAATECH,AAA Technologies Limited,NSE,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AADHARHFC,Aadhar Housing Finance Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Housing Finance (HFC),Housing Finance (HFC),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AAKAAR,AAKAAR,NSE,SM,SME,METALS & FABRICATION,Precision Metal Fabrication,Precision Metal Fabrication,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AAKASH,Aakash Exploration Services Limited,NSE,EQ,NON_SME,OIL & GAS,Oil & Gas Exploration (E&P),Oil & Gas Exploration (E&P),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARADHYA,AARADHYA,NSE,SM,SME,STEEL,Steel Pipes & Tubes,Steel Pipes & Tubes,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARNAV,Aarnav Fashions Limited,NSE,BE,NON_SME,TEXTILES,Garments & Apparel Exports,Garments & Apparel Exports,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARON,Aaron Industries Limited,NSE,EQ,NON_SME,CAPITAL GOODS & MACHINERY,Pumps & Compressors,Pumps & Compressors,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARTECH,Aartech Solonics Limited,NSE,BE,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARTIDRUGS,Aarti Drugs Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARTIIND,Aarti Industries Limited,NSE,EQ,NON_SME,CHEMICALS,Specialty Chemicals,Specialty Chemicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARTIPHARM,Aarti Pharmalabs Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARTISURF,Aarti Surfactants Limited,NSE,BE,NON_SME,FMCG & PERSONAL CARE,Personal Care & Soaps,Personal Care & Soaps,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AARVI,Aarvi Encon Limited,NSE,EQ,NON_SME,PROFESSIONAL & CONSUMER SERVICES,Staffing & Security Services,Staffing & Security Services,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AASTHA,Aastha Spintex Limited,NSE,EQ,NON_SME,TEXTILES,Cotton Spinning & Yarns,Cotton Spinning & Yarns,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AATMAJ,AATMAJ,NSE,SM,SME,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,Hospitals & Healthcare Chains,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AAVAS,Aavas Financiers Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Housing Finance (HFC),Housing Finance (HFC),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABAN,Aban Offshore Limited,NSE,BE,NON_SME,OIL & GAS,Refining & Petrochemicals,Refining & Petrochemicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABANSENT,Abans Enterprises Limited,NSE,EQ,NON_SME,CAPITAL MARKETS,Stockbroking & Wealth Management,Stockbroking & Wealth Management,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABB,ABB India Limited,NSE,EQ,NON_SME,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,Heavy Switchgear & Automation,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABBOTINDIA,Abbott India Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABCAPITAL,Aditya Birla Capital Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,Diversified Consumer & MSME NBFC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABCOTS,A B Cotspin India Limited,NSE,EQ,NON_SME,TEXTILES,Cotton Spinning & Yarns,Cotton Spinning & Yarns,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABDL,Allied Blenders and Distillers Limited,NSE,EQ,NON_SME,DEFENCE & AEROSPACE,Missiles & Military Explosives,Missiles & Military Explosives,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABFRL,Aditya Birla Fashion and Retail Limited,NSE,EQ,NON_SME,TEXTILES,Garments & Apparel Exports,Garments & Apparel Exports,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABHAPOWER,ABHAPOWER,NSE,SM,SME,POWER,Conventional Thermal & Fossil Power,Conventional Thermal & Fossil Power,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABINFRA,A B Infrabuild Limited,NSE,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Roads & Highways EPC,Roads & Highways EPC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABLBL,Aditya Birla Lifestyle Brands Limited,NSE,EQ,NON_SME,RETAIL,Specialty Retail Boutiques,Specialty Retail Boutiques,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABMINTLLTD,ABM International Limited,NSE,BE,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABMKNO,ABM Knowledgeware Limited,NSE,EQ,NON_SME,IT SERVICES,Enterprise Software & SaaS,Enterprise Software & SaaS,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABREL,Aditya Birla Real Estate Limited,NSE,EQ,NON_SME,REAL ESTATE,Residential Real Estate,Residential Real Estate,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,EQ,NON_SME,CAPITAL MARKETS,Mutual Fund Asset Managers (AMC),Mutual Fund Asset Managers (AMC),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ABSMARINE,ABSMARINE,NSE,ST,SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,Marine Offshore Vessels & Tugs,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACC,ACC Limited,NSE,EQ,NON_SME,CEMENT,Integrated Grey Cement,Integrated Grey Cement,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACCELYA,Accelya Solutions India Limited,NSE,EQ,NON_SME,IT SERVICES,Enterprise Software & SaaS,Enterprise Software & SaaS,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACCENTMIC,ACCENTMIC,NSE,SM,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACCPL,ACCPL,NSE,ST,SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACCURACY,Accuracy Shipping Limited,NSE,BE,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,Marine Offshore Vessels & Tugs,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACE,Action Construction Equipment Limited,NSE,EQ,NON_SME,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,Heavy Process Equipment & Machinery,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACEINTEG,Ace Integrated Solutions Limited,NSE,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACGL,Automobile Corporation of Goa Limited,NSE,EQ,NON_SME,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,Auto Castings & Heavy Forgings,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACI,Archean Chemical Industries Limited,NSE,EQ,NON_SME,CHEMICALS,Industrial & Basic Chemicals,Industrial & Basic Chemicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACL,Andhra Cements Limited,NSE,EQ,NON_SME,CEMENT,Regional Cement & RMC,Regional Cement & RMC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACMESOLAR,Acme Solar Holdings Limited,NSE,EQ,NON_SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,Solar PV & Green Hydrogen,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACSTECH,ACS Technologies Limited,NSE,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACTIVEINFR,ACTIVEINFR,NSE,SM,SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ACUTAAS,Acutaas Chemicals Limited,NSE,EQ,NON_SME,CHEMICALS,Industrial & Basic Chemicals,Industrial & Basic Chemicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADANIENSOL,Adani Energy Solutions Limited,NSE,EQ,NON_SME,POWER,Conventional Thermal & Fossil Power,Conventional Thermal & Fossil Power,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADANIENT,Adani Enterprises Limited,NSE,EQ,NON_SME,COMMERCIAL TRADING,Commodity & Wholesale Trading,Commodity & Wholesale Trading,Transport Infrastructure; Construction; Power,Airports & Aviation Operations; Roads & Highway Concessions; Green Hydrogen & Solar Module Mfg,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADANIGREEN,Adani Green Energy Limited,NSE,EQ,NON_SME,RENEWABLE ENERGY,Green Energy Generation (IPP),Green Energy Generation (IPP),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE,EQ,NON_SME,SHIPBUILDING & PORTS,Commercial Ports & Terminals,Commercial Ports & Terminals,Transport Infrastructure,Multi-Modal Logistics & Rail Cargo,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADANIPOWER,Adani Power Limited,NSE,EQ,NON_SME,POWER,Conventional Thermal & Fossil Power,Conventional Thermal & Fossil Power,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADDICTIVE,ADDICTIVE,NSE,SM,SME,MEDIA & ENTERTAINMENT,Print Media & Publishing,Print Media & Publishing,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADDIND,Addi Industries Limited,NSE,EQ,NON_SME,BUILDING MATERIALS,Building Materials,Building Materials,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADFFOODS,ADF Foods Limited,NSE,EQ,NON_SME,FOOD PROCESSING,Packaged Foods & Snacks,Packaged Foods & Snacks,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADISOFT,ADISOFT,NSE,SM,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADL,Archidply Decor Limited,NSE,EQ,NON_SME,BUILDING MATERIALS,Plywood & Laminates,Plywood & Laminates,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADOR,Ador Welding Limited,NSE,EQ,NON_SME,CAPITAL GOODS & MACHINERY,Industrial Abrasives & Ceramics,Industrial Abrasives & Ceramics,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADROITINFO,Adroit Infotech Limited,NSE,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADSL,Allied Digital Services Limited,NSE,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADVAIT,Advait Energy Transitions Limited,NSE,EQ,NON_SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,Solar PV & Green Hydrogen,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADVANCE,Advance Agrolife Limited,NSE,EQ,NON_SME,AGRICULTURE & AGROCHEMICALS,Crop Protection Formulations,Crop Protection Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE,EQ,NON_SME,HOTELS & HOSPITALITY,Luxury Hotels & Resorts,Luxury Hotels & Resorts,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADVENTHTL,Advent Hotels International Limited,NSE,EQ,NON_SME,HOTELS & HOSPITALITY,Luxury Hotels & Resorts,Luxury Hotels & Resorts,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Specialty Enzymes & Biologicals,Specialty Enzymes & Biologicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
ADVIKCA,Advik Capital Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,Diversified Consumer & MSME NBFC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEGISLOG,Aegis Logistics Limited,NSE,EQ,NON_SME,LOGISTICS & SUPPLY CHAIN,3PL Logistics & Fleet Haulage,3PL Logistics & Fleet Haulage,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE,EQ,NON_SME,OIL & GAS,Oil & LPG Tank Terminals,Oil & LPG Tank Terminals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEPL,Artemis Electricals and Projects Limited,NSE,EQ,NON_SME,CONSUMER ELECTRICALS,Fast Moving Electrical Goods (FMEG),Fast Moving Electrical Goods (FMEG),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEQUS,Aequs Limited,NSE,EQ,NON_SME,EMS & ELECTRONICS,Aerospace Parts & Precision Engineering,Aerospace Parts & Precision Engineering,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEROENTER,Aeroflex Enterprises Limited,NSE,EQ,NON_SME,STEEL,Steel Pipes & Tubes,Steel Pipes & Tubes,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEROFLEX,Aeroflex Industries Limited,NSE,EQ,NON_SME,STEEL,Steel Pipes & Tubes,Steel Pipes & Tubes,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AERON,AERON,NSE,SM,SME,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,Aerospace & Fighter Aircraft,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AERONEU,Aeroflex Neu Limited,NSE,EQ,NON_SME,STEEL,Steel Pipes & Tubes,Steel Pipes & Tubes,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,NSE,EQ,NON_SME,RICE,Basmati Rice & Exports,Basmati Rice & Exports,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AESTHETIK,AESTHETIK,NSE,SM,SME,BUILDING MATERIALS,Architectural Glass & Windows,Architectural Glass & Windows,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AETHER,Aether Industries Limited,NSE,EQ,NON_SME,CHEMICALS,Specialty Chemicals,Specialty Chemicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AFCONS,Afcons Infrastructure Limited,NSE,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AFFLE,Affle 3i Limited,NSE,EQ,NON_SME,IT SERVICES,AdTech & Marketing Analytics,AdTech & Marketing Analytics,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AFFORDABLE,Affordable Robotic & Automation Limited,NSE,BE,NON_SME,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,Heavy Switchgear & Automation,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AFIL,Akme Fintrade (India) Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,Diversified Consumer & MSME NBFC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AFSL,Abans Financial Services Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Corporate & Wholesale Finance,Corporate & Wholesale Finance,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGARIND,Agarwal Industrial Corporation Limited,NSE,EQ,NON_SME,OIL & GAS,Lubricants & Specialty Oils,Lubricants & Specialty Oils,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGARWALTUF,AGARWALTUF,NSE,SM,SME,BUILDING MATERIALS,Architectural Glass & Windows,Architectural Glass & Windows,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGI,AGI Greenpac Limited,NSE,EQ,NON_SME,PAPER & PACKAGING,Moulded Plastics & Packaging,Moulded Plastics & Packaging,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGIIL,Agi Infra Limited,NSE,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGL,Allcargo Global Limited,NSE,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,Precision Auto Engine Components,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGNI,AGNI,NSE,SM,SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,Solar PV & Green Hydrogen,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGRITECH,Agri-Tech (India) Limited,NSE,EQ,NON_SME,AGRICULTURE & AGROCHEMICALS,Crop Protection Agrochemicals,Crop Protection Agrochemicals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGROPHOS,Agro Phos India Limited,NSE,EQ,NON_SME,FERTILIZERS,Fertilizers & Soil Nutrients,Fertilizers & Soil Nutrients,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AGSTRA,AGS Transact Technologies Limited,NSE,BZ,NON_SME,PROFESSIONAL & CONSUMER SERVICES,Staffing & Security Services,Staffing & Security Services,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AHCL,Anlon Healthcare Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AHIMSA,AHIMSA,NSE,ST,SME,MINING & MINERALS,Industrial Minerals,Industrial Minerals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AHLADA,Ahlada Engineers Limited,NSE,EQ,NON_SME,METALS & FABRICATION,Precision Metal Fabrication,Precision Metal Fabrication,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AHLEAST,Asian Hotels (East) Limited,NSE,EQ,NON_SME,HOTELS & HOSPITALITY,Luxury Hotels & Resorts,Luxury Hotels & Resorts,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AHLWEST,Asian Hotels (West) Limited,NSE,BE,NON_SME,HOTELS & HOSPITALITY,Luxury Hotels & Resorts,Luxury Hotels & Resorts,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AIAENG,AIA Engineering Limited,NSE,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,Precision Auto Engine Components,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AIIL,Authum Investment & Infrastructure Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,Diversified Consumer & MSME NBFC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AILIMITED,AILIMITED,NSE,SM,SME,TEXTILES,Cotton Spinning & Yarns,Cotton Spinning & Yarns,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AIMTRON,AIMTRON,NSE,SM,SME,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,Printed Circuit Boards (PCBA) & Components,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AIRAN,Airan Limited,NSE,EQ,NON_SME,PROFESSIONAL & CONSUMER SERVICES,Business Process Management (BPM),Business Process Management (BPM),,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AIROLAM,Airo Lam limited,NSE,EQ,NON_SME,BUILDING MATERIALS,Plywood & Laminates,Plywood & Laminates,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AISL,AISL,NSE,SM,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AJANTPHARM,Ajanta Pharma Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,Finished Formulations,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AJAXENGG,Ajax Engineering Limited,NSE,EQ,NON_SME,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,Heavy Process Equipment & Machinery,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AJMERA,Ajmera Realty & Infra India Limited,NSE,EQ,NON_SME,REAL ESTATE,Residential Real Estate,Residential Real Estate,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AJOONI,Ajooni Biotech Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,Biopharma & Biosimilars,Biopharma & Biosimilars,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKANKSHA,AKANKSHA,NSE,SM,SME,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,Power & Distribution Transformers,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKASH,Akash Infra-Projects Limited,NSE,EQ,NON_SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,Civil & Commercial Construction,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKCAPIT,AK Capital Services Limited,NSE,EQ,NON_SME,PHARMACEUTICALS,API & Bulk Drugs,API & Bulk Drugs,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKG,Akg Exim Limited,NSE,EQ,NON_SME,FOOD PROCESSING,Seafood & Marine Exports,Seafood & Marine Exports,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKI,AKI India Limited,NSE,EQ,NON_SME,FOOTWEAR,Footwear Retail Chains,Footwear Retail Chains,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKIKO,AKIKO,NSE,SM,SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,Diversified Consumer & MSME NBFC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
AKSHAR,Akshar Spintex Limited,NSE,EQ,NON_SME,TEXTILES,Cotton Spinning & Yarns,Cotton Spinning & Yarns,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
