symbol,company_name,isin,series,sme_status,current_sector,current_industry,v3_sector,v3_industry,exposure_v3_sector,exposure_v3_industry,proposed_sector,proposed_industry,additional_industries,classification_confidence,change_required,reason,source_1,source_2,source_3,primary_business,market_cap_cr,index_membership,has_conflict,evidence_date,review_status,risk_score
AERON,AERON,,SM,SME,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'DEFENCE & AEROSPACE' and Industry 'Aerospace & Fighter Aircraft' based on core economic business exposure: Aeron Composite - FRP composite structural products for defense and i,,Aeron Composite - FRP composite structural products for defense and industrial aerospace applications,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AESTHETIK,AESTHETIK,,SM,SME,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'BUILDING MATERIALS' and Industry 'Architectural Glass & Windows' based on core economic business exposure: Aesthetik Engineers - High-rise structural building facades, aluminiu",,"Aesthetik Engineers - High-rise structural building facades, aluminium composite panels and cladding",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AGARWALTUF,AGARWALTUF,,SM,SME,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'BUILDING MATERIALS' and Industry 'Architectural Glass & Windows' based on core economic business exposure: Agarwal Toughened Glass - Architectural toughened glass sheets, frost",,"Agarwal Toughened Glass - Architectural toughened glass sheets, frosted glass and laminated safety glass",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AGNI,AGNI,,SM,SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'RENEWABLE ENERGY' and Industry 'Solar PV & Green Hydrogen' based on core economic business exposure: Agni Green Power - Turnkey solar PV power plant execution and off-grid powe,,Agni Green Power - Turnkey solar PV power plant execution and off-grid power solutions,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AHIMSA,AHIMSA,,ST,SME,MINING & MINERALS,Industrial Minerals,MINING & MINERALS,Industrial Minerals,MINING & MINERALS,Industrial Minerals,MINING & MINERALS,Industrial Minerals,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'MINING & MINERALS' and Industry 'Industrial Minerals' based on core economic business exposure: Mining, quarrying and processing of mineral stones and ores.",,"Mining, quarrying and processing of mineral stones and ores.",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
AILIMITED,AILIMITED,,SM,SME,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'TEXTILES' and Industry 'Cotton Spinning & Yarns' based on core economic business exposure: Cotton yarn spinning and woven grey textile fabrics.,,Cotton yarn spinning and woven grey textile fabrics.,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AIMTRON,AIMTRON,,SM,SME,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,EMS & ELECTRONICS,Printed Circuit Boards (PCBA) & Components,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'EMS & ELECTRONICS' and Industry 'Printed Circuit Boards (PCBA) & Components' based on core economic business exposure: Aimtron Electronics - Precision PCBA design, prototype fa",,"Aimtron Electronics - Precision PCBA design, prototype fabrication and SMT electronic assemblies",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AISL,AISL,,SM,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'IT SERVICES' and Industry 'Mid-Tier IT & Digital Solutions' based on core economic business exposure: Information technology consulting, software development and systems integr",,"Information technology consulting, software development and systems integration.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AKANKSHA,AKANKSHA,,SM,SME,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,ELECTRICAL EQUIPMENT,Power & Distribution Transformers,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'ELECTRICAL EQUIPMENT' and Industry 'Power & Distribution Transformers' based on core economic business exposure: Akanksha Power and Infra - Distribution transformers, vacuum ci",,"Akanksha Power and Infra - Distribution transformers, vacuum circuit breakers and power panels",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AKIKO,AKIKO,,SM,SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,FINANCE & NBFC,Diversified Consumer & MSME NBFC,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'FINANCE & NBFC' and Industry 'Diversified Consumer & MSME NBFC' based on core economic business exposure: Akiko Global Services - Digital channel partner for credit card custom,,Akiko Global Services - Digital channel partner for credit card customer origination and loan lead generation,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ALCODIS,ALCODIS,,SM,SME,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,BEVERAGES & DISTILLERIES,IMFL Spirits & Distilleries,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'BEVERAGES & DISTILLERIES' and Industry 'IMFL Spirits & Distilleries' based on core economic business exposure: Alcodis India - Multi-feed grain distillery producing Extra Neutr,,Alcodis India - Multi-feed grain distillery producing Extra Neutral Alcohol (ENA) and rectified spirits,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ALLETEC,ALLETEC,,ST,SME,IT SERVICES,Enterprise Software & SaaS,IT SERVICES,Enterprise Software & SaaS,IT SERVICES,Enterprise Software & SaaS,IT SERVICES,Enterprise Software & SaaS,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'IT SERVICES' and Industry 'Enterprise Software & SaaS' based on core economic business exposure: Microsoft Dynamics 365 ERP, CRM implementation and cloud consulting.",,"Microsoft Dynamics 365 ERP, CRM implementation and cloud consulting.",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
ALPEXSOLAR,ALPEXSOLAR,,SM,SME,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,RENEWABLE ENERGY,Solar PV & Green Hydrogen,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'RENEWABLE ENERGY' and Industry 'Solar PV & Green Hydrogen' based on core economic business exposure: Alpex Solar - Manufacturing of high-efficiency solar PV modules and solar w,,Alpex Solar - Manufacturing of high-efficiency solar PV modules and solar water pumps,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ALUWIND,ALUWIND,,SM,SME,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,BUILDING MATERIALS,Architectural Glass & Windows,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'BUILDING MATERIALS' and Industry 'Architectural Glass & Windows' based on core economic business exposure: Aluwind Architectural - High-performance aluminium curtain walls, arc",,"Aluwind Architectural - High-performance aluminium curtain walls, architectural facades and window systems",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AMBAAUTO,AMBAAUTO,,SM,SME,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'AUTO ANCILLARIES' and Industry 'Auto Castings & Heavy Forgings' based on core economic business exposure: Amba Enterprises - Precision machined automotive forgings, metal stamp",,"Amba Enterprises - Precision machined automotive forgings, metal stampings and core laminations",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AMBANIORGO,AMBANIORGO,,SM,SME,CHEMICALS,Specialty Chemicals,CHEMICALS,Specialty Chemicals,CHEMICALS,Specialty Chemicals,CHEMICALS,Specialty Chemicals,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'CHEMICALS' and Industry 'Specialty Chemicals' based on core economic business exposure: Ambani Organics - Specialty water-based acrylic emulsions and chemicals for textiles and,,Ambani Organics - Specialty water-based acrylic emulsions and chemicals for textiles and paper,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AMCL,AMCL,,SM,SME,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,CAPITAL GOODS & MACHINERY,Heavy Process Equipment & Machinery,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL GOODS & MACHINERY' and Industry 'Heavy Process Equipment & Machinery' based on core economic business exposure: Cement manufacturing plant machinery, rubber mixing mill",,"Cement manufacturing plant machinery, rubber mixing mills and heavy equipment.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AMEYA,AMEYA,,SM,SME,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL GOODS & MACHINERY' and Industry 'Pumps & Compressors' based on core economic business exposure: High precision industrial valves, piping assemblies and compressor fitti",,"High precision industrial valves, piping assemblies and compressor fittings.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ANAWIL,ANAWIL,,ST,SME,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,TEXTILES,Cotton Spinning & Yarns,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'TEXTILES' and Industry 'Cotton Spinning & Yarns' based on core economic business exposure: Textile weaving, cotton yarn spinning and fabric processing.",,"Textile weaving, cotton yarn spinning and fabric processing.",0.2,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
ANLON,ANLON,,SM,SME,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,CAPITAL GOODS & MACHINERY,Pumps & Compressors,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL GOODS & MACHINERY' and Industry 'Pumps & Compressors' based on core economic business exposure: Specialized airport mobile fire-fighting vehicles, high-pressure pumps a",,"Specialized airport mobile fire-fighting vehicles, high-pressure pumps and rescue equipment.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ANONDITA,ANONDITA,,SM,SME,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'HEALTHCARE SERVICES' and Industry 'Medical Clinics & Equipment' based on core economic business exposure: Anondita Healthcare - Latex medical surgical gloves, catheters and hea",,"Anondita Healthcare - Latex medical surgical gloves, catheters and healthcare consumables",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ANYA,ANYA,,SM,SME,PLASTICS & POLYMERS,Engineered Polymers & Compounding,PLASTICS & POLYMERS,Engineered Polymers & Compounding,PLASTICS & POLYMERS,Engineered Polymers & Compounding,PLASTICS & POLYMERS,Engineered Polymers & Compounding,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'PLASTICS & POLYMERS' and Industry 'Engineered Polymers & Compounding' based on core economic business exposure: Engineered plastics compounding, polymer masterbatches and injec",,"Engineered plastics compounding, polymer masterbatches and injection moulding.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
APEXECO,APEXECO,,ST,SME,WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",WATER TREATMENT,"Industrial Effluent, Desalination & ZLD",,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'WATER TREATMENT' and Industry 'Industrial Effluent, Desalination & ZLD' based on core economic business exposure: Water treatment plants, industrial effluent recycling and envi",,"Water treatment plants, industrial effluent recycling and environmental engineering EPC.",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
APRAMEYA,APRAMEYA,,SM,SME,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,HEALTHCARE SERVICES,Medical Clinics & Equipment,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'HEALTHCARE SERVICES' and Industry 'Medical Clinics & Equipment' based on core economic business exposure: Installation of critical care ICU infrastructure, modular operation th",,"Installation of critical care ICU infrastructure, modular operation theatres and medical equipment.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
APS,APS,,SM,SME,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'ELECTRICAL EQUIPMENT' and Industry 'Heavy Switchgear & Automation' based on core economic business exposure: Associated Power Solutions - Electrical switchboards, motor control",,"Associated Power Solutions - Electrical switchboards, motor control centers and power distribution panels",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
APSISAERO,APSISAERO,,ST,SME,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,DEFENCE & AEROSPACE,Aerospace & Fighter Aircraft,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'DEFENCE & AEROSPACE' and Industry 'Aerospace & Fighter Aircraft' based on core economic business exposure: Apsis Aerospace - Aerospace electronic hardware, sensors and drone pa",,"Apsis Aerospace - Aerospace electronic hardware, sensors and drone payload systems",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
ARABIAN,ARABIAN,,SM,SME,OIL & GAS,Lubricants & Specialty Oils,OIL & GAS,Lubricants & Specialty Oils,OIL & GAS,Lubricants & Specialty Oils,OIL & GAS,Lubricants & Specialty Oils,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'OIL & GAS' and Industry 'Lubricants & Specialty Oils' based on core economic business exposure: Industrial lubricants, synthetic engine oils, transformer oils and bitumen.",,"Industrial lubricants, synthetic engine oils, transformer oils and bitumen.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ARCIIL,ARCIIL,,SM,SME,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,ELECTRICAL EQUIPMENT,Heavy Switchgear & Automation,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'ELECTRICAL EQUIPMENT' and Industry 'Heavy Switchgear & Automation' based on core economic business exposure: ARC Insulators - High-voltage disc and pin porcelain electrical ins,,ARC Insulators - High-voltage disc and pin porcelain electrical insulators for power grids,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ARHAM,ARHAM,,SM,SME,PAPER & PACKAGING,Flexible Packaging Films,PAPER & PACKAGING,Flexible Packaging Films,PAPER & PACKAGING,Flexible Packaging Films,PAPER & PACKAGING,Flexible Packaging Films,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'PAPER & PACKAGING' and Industry 'Flexible Packaging Films' based on core economic business exposure: BOPP/BOPET printed flexible barrier packaging and labels.,,BOPP/BOPET printed flexible barrier packaging and labels.,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ARIHANTACA,ARIHANTACA,,SM,SME,EDUCATION & EDTECH,Education Academies & Publishing,EDUCATION & EDTECH,Education Academies & Publishing,EDUCATION & EDTECH,Education Academies & Publishing,EDUCATION & EDTECH,Education Academies & Publishing,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'EDUCATION & EDTECH' and Industry 'Education Academies & Publishing' based on core economic business exposure: Coaching academies for competitive exams, tutorials and degree col",,"Coaching academies for competitive exams, tutorials and degree college test prep.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ARMOUR,ARMOUR,,ST,SME,DEFENCE & AEROSPACE,Precision Defence Machining,DEFENCE & AEROSPACE,Precision Defence Machining,DEFENCE & AEROSPACE,Precision Defence Machining,DEFENCE & AEROSPACE,Precision Defence Machining,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'DEFENCE & AEROSPACE' and Industry 'Precision Defence Machining' based on core economic business exposure: Armour Heavy Engineering - Armored steel vehicle plates, ballistic enc",,"Armour Heavy Engineering - Armored steel vehicle plates, ballistic enclosures and defense heavy machining",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
