Date,Rolling_Rank_IC,Rolling_Spread,Model_Health_Status
2024-07-10,-0.0946,-3.04,RED
2024-07-11,-0.0916,-3.1,RED
2024-07-12,-0.0835,-3.1,RED
2024-07-15,-0.0729,-2.99,RED
2024-07-16,-0.0583,-2.72,RED
2024-07-17,-0.0025,-1.18,RED
2024-07-18,0.0475,0.18,YELLOW
2024-07-19,0.0788,1.01,YELLOW
2024-07-22,0.0902,1.56,GREEN
2024-07-23,0.0881,1.59,GREEN
2024-07-24,0.0839,1.57,GREEN
2024-07-25,0.0818,1.65,GREEN
2024-07-26,0.0813,1.68,GREEN
2024-07-29,0.0795,1.77,YELLOW
2024-07-30,0.0736,1.82,YELLOW
2024-07-31,0.0664,1.75,YELLOW
2024-08-01,0.068,1.83,YELLOW
2024-08-02,0.0697,2.04,YELLOW
2024-08-05,0.0682,2.13,YELLOW
2024-08-06,0.042,1.58,YELLOW
2024-08-07,0.0076,0.87,YELLOW
2024-08-08,-0.0079,0.8,RED
2024-08-09,-0.0263,0.25,RED
2024-08-12,-0.0385,0.03,RED
2024-08-13,-0.0432,0.11,RED
2024-08-14,-0.0679,-0.22,RED
2024-08-15,-0.0901,-0.64,RED
2024-08-16,-0.1055,-0.72,RED
2024-08-19,-0.1068,-0.67,RED
2024-08-20,-0.0892,-0.31,RED
2024-08-21,-0.0649,0.15,RED
2024-08-22,-0.0534,0.36,RED
2024-08-23,-0.0401,0.65,RED
2024-08-26,-0.0324,0.95,RED
2024-08-27,-0.023,1.12,RED
2024-08-28,-0.0096,1.43,RED
2024-08-29,0.0054,1.74,YELLOW
2024-08-30,0.0152,1.9,YELLOW
2024-09-02,0.0156,2.05,YELLOW
2024-09-03,0.0175,2.2,YELLOW
2024-09-04,0.0209,2.42,YELLOW
2024-09-05,0.0223,2.45,YELLOW
2024-09-06,0.015,2.32,YELLOW
2024-09-09,0.0131,2.28,YELLOW
2024-09-10,0.0219,2.39,YELLOW
2024-09-11,0.0274,2.64,YELLOW
2024-09-12,0.0312,2.96,YELLOW
2024-09-13,0.0311,2.97,YELLOW
2024-09-16,0.0272,2.89,YELLOW
2024-09-17,0.027,2.96,YELLOW
2024-09-18,0.0366,3.22,YELLOW
2024-09-19,0.0385,3.22,YELLOW
2024-09-20,0.0415,3.28,YELLOW
2024-09-23,0.0422,3.3,YELLOW
2024-09-24,0.0397,3.17,YELLOW
2024-09-25,0.0468,3.1,YELLOW
2024-09-26,0.0609,3.17,YELLOW
2024-09-27,0.0788,3.25,YELLOW
2024-09-30,0.0888,3.21,GREEN
2024-10-01,0.0961,3.05,GREEN
2024-10-02,0.0963,2.78,GREEN
2024-10-03,0.0896,2.39,GREEN
2024-10-04,0.0801,2.2,GREEN
2024-10-07,0.0638,1.98,YELLOW
2024-10-08,0.0361,1.49,YELLOW
2024-10-09,0.0232,1.15,YELLOW
2024-10-10,0.0097,0.72,YELLOW
2024-10-11,-0.0005,0.52,RED
2024-10-14,-0.0094,0.1,RED
2024-10-15,-0.0155,-0.05,RED
2024-10-16,-0.0228,-0.3,RED
2024-10-17,-0.0301,-0.65,RED
2024-10-18,-0.0267,-0.73,RED
2024-10-21,-0.0211,-0.7,RED
2024-10-22,-0.0201,-0.87,RED
2024-10-23,-0.0436,-1.35,RED
2024-10-24,-0.0541,-1.62,RED
2024-10-25,-0.0763,-2.11,RED
2024-10-28,-0.1229,-2.93,RED
2024-10-29,-0.1587,-3.49,RED
2024-10-30,-0.1953,-3.96,RED
2024-10-31,-0.2184,-4.06,RED
2024-11-01,-0.2306,-4.15,RED
2024-11-04,-0.2441,-4.31,RED
2024-11-05,-0.2478,-4.34,RED
2024-11-06,-0.2434,-4.32,RED
2024-11-07,-0.231,-4.02,RED
2024-11-08,-0.2212,-3.71,RED
2024-11-11,-0.209,-3.32,RED
2024-11-12,-0.2,-3.17,RED
2024-11-13,-0.1927,-3.02,RED
2024-11-14,-0.1992,-3.47,RED
2024-11-18,-0.2066,-3.76,RED
2024-11-19,-0.2179,-3.98,RED
2024-11-20,-0.2221,-4.17,RED
2024-11-21,-0.2207,-4.05,RED
2024-11-22,-0.2201,-4.08,RED
2024-11-25,-0.2142,-4.01,RED
2024-11-26,-0.2009,-3.72,RED
2024-11-27,-0.1867,-3.42,RED
2024-11-28,-0.1685,-2.88,RED
2024-11-29,-0.1461,-2.1,RED
2024-12-02,-0.1366,-1.94,RED
2024-12-03,-0.1352,-1.92,RED
2024-12-04,-0.1528,-2.41,RED
2024-12-05,-0.1805,-2.98,RED
2024-12-06,-0.2107,-3.55,RED
2024-12-09,-0.2455,-4.18,RED
2024-12-10,-0.2736,-4.86,RED
2024-12-11,-0.3029,-5.45,RED
2024-12-12,-0.3322,-6.27,RED
2024-12-13,-0.3612,-6.98,RED
2024-12-16,-0.389,-7.69,RED
2024-12-17,-0.4206,-8.94,RED
2024-12-18,-0.4357,-9.6,RED
2024-12-19,-0.4419,-9.92,RED
2024-12-20,-0.45,-10.28,RED
2024-12-23,-0.4521,-10.4,RED
2024-12-24,-0.4478,-10.33,RED
2024-12-25,-0.4368,-9.95,RED
2024-12-26,-0.4166,-9.42,RED
2024-12-27,-0.3802,-8.35,RED
2024-12-30,-0.3423,-7.34,RED
2024-12-31,-0.2964,-6.38,RED
2025-01-01,-0.2485,-5.52,RED
2025-01-02,-0.2165,-4.93,RED
2025-01-03,-0.1804,-4.08,RED
2025-01-06,-0.1541,-3.54,RED
2025-01-07,-0.1708,-4.26,RED
2025-01-08,-0.1553,-3.96,RED
2025-01-09,-0.1515,-3.97,RED
2025-01-10,-0.1539,-4.09,RED
2025-01-13,-0.1655,-4.36,RED
2025-01-14,-0.1941,-4.7,RED
2025-01-15,-0.1955,-4.59,RED
2025-01-16,-0.1967,-4.56,RED
2025-01-17,-0.197,-4.43,RED
2025-01-20,-0.196,-4.44,RED
2025-01-21,-0.1866,-4.25,RED
2025-01-22,-0.1782,-4.11,RED
2025-01-23,-0.1739,-4.17,RED
2025-01-24,-0.1733,-4.2,RED
2025-01-27,-0.1629,-3.99,RED
2025-01-28,-0.1427,-3.34,RED
2025-01-29,-0.1363,-3.18,RED
2025-01-30,-0.1171,-3.02,RED
2025-01-31,-0.1026,-2.81,RED
2025-02-03,-0.0957,-2.62,RED
2025-02-04,-0.0995,-2.79,RED
2025-02-05,-0.0958,-2.72,RED
2025-02-06,-0.0924,-2.6,RED
2025-02-07,-0.0953,-2.57,RED
2025-02-10,-0.0903,-2.36,RED
2025-02-11,-0.0804,-2.12,RED
2025-02-12,-0.0669,-1.79,RED
2025-02-13,-0.0519,-1.47,RED
2025-02-14,-0.0345,-0.95,RED
2025-02-17,-0.0373,-1.16,RED
2025-02-18,-0.0829,-2.35,RED
2025-02-19,-0.1084,-3.14,RED
2025-02-20,-0.1196,-3.23,RED
2025-02-21,-0.1296,-3.37,RED
2025-02-24,-0.1342,-3.54,RED
2025-02-25,-0.1336,-3.55,RED
2025-02-27,-0.135,-3.63,RED
2025-02-28,-0.1475,-4.02,RED
2025-03-03,-0.1501,-4.22,RED
2025-03-04,-0.154,-4.55,RED
2025-03-05,-0.1493,-4.43,RED
2025-03-06,-0.1381,-4.02,RED
2025-03-07,-0.133,-3.64,RED
2025-03-10,-0.1262,-3.43,RED
2025-03-11,-0.131,-3.62,RED
2025-03-12,-0.1343,-3.61,RED
2025-03-13,-0.1326,-3.59,RED
2025-03-17,-0.1355,-3.73,RED
2025-03-18,-0.1367,-3.76,RED
2025-03-19,-0.1095,-3.13,RED
2025-03-20,-0.0773,-2.01,RED
2025-03-21,-0.054,-1.31,RED
2025-03-24,-0.0287,-0.52,RED
2025-03-25,-0.0267,-0.47,RED
2025-03-26,-0.0135,0.06,RED
2025-03-27,0.0034,0.29,YELLOW
2025-03-28,0.0009,0.23,YELLOW
2025-04-01,0.0024,0.24,YELLOW
2025-04-02,-0.0149,-0.45,RED
2025-04-03,-0.0495,-0.87,RED
2025-04-04,-0.0752,-1.34,RED
2025-04-07,-0.083,-1.48,RED
2025-04-08,-0.0881,-1.53,RED
2025-04-09,-0.0957,-1.66,RED
2025-04-11,-0.1069,-1.68,RED
2025-04-15,-0.1112,-1.74,RED
2025-04-16,-0.1129,-1.86,RED
2025-04-17,-0.1167,-1.78,RED
2025-04-21,-0.1001,-1.18,RED
2025-04-22,-0.0853,-1.04,RED
2025-04-23,-0.0707,-1.13,RED
2025-04-24,-0.0896,-1.89,RED
2025-04-25,-0.1278,-2.91,RED
2025-04-28,-0.1489,-3.21,RED
2025-04-29,-0.1661,-3.53,RED
2025-04-30,-0.1642,-3.66,RED
2025-05-02,-0.1444,-3.35,RED
2025-05-05,-0.1122,-2.56,RED
2025-05-06,-0.0688,-1.72,RED
2025-05-07,-0.0533,-1.2,RED
2025-05-08,-0.0505,-0.99,RED
2025-05-09,-0.0544,-1.14,RED
2025-05-12,-0.0644,-1.37,RED
2025-05-13,-0.0558,-0.97,RED
2025-05-14,-0.0543,-0.94,RED
2025-05-15,-0.0556,-0.85,RED
2025-05-16,-0.0783,-1.13,RED
2025-05-19,-0.1082,-1.41,RED
2025-05-20,-0.1401,-1.75,RED
2025-05-21,-0.1677,-2.08,RED
2025-05-22,-0.1948,-2.53,RED
2025-05-23,-0.2312,-3.3,RED
2025-05-26,-0.2526,-3.87,RED
2025-05-27,-0.2613,-4.09,RED
2025-05-28,-0.2561,-3.99,RED
2025-05-29,-0.2541,-3.88,RED
2025-05-30,-0.2636,-4.09,RED
2025-06-02,-0.2707,-4.25,RED
2025-06-03,-0.2723,-4.4,RED
2025-06-04,-0.2785,-4.57,RED
2025-06-05,-0.2847,-4.71,RED
2025-06-06,-0.293,-4.88,RED
2025-06-09,-0.3022,-5.17,RED
2025-06-10,-0.3086,-5.53,RED
2025-06-11,-0.3179,-5.79,RED
2025-06-12,-0.3267,-6.09,RED
2025-06-13,-0.3165,-5.93,RED
2025-06-16,-0.3003,-5.69,RED
2025-06-17,-0.2816,-5.54,RED
2025-06-18,-0.2472,-4.78,RED
2025-06-19,-0.2154,-3.8,RED
2025-06-20,-0.192,-2.97,RED
2025-06-23,-0.1607,-2.01,RED
2025-06-24,-0.1663,-2.22,RED
2025-06-25,-0.1675,-2.24,RED
2025-06-26,-0.1724,-2.33,RED
2025-06-27,-0.1735,-2.34,RED
2025-06-30,-0.1746,-2.39,RED
2025-07-01,-0.1766,-2.39,RED
2025-07-02,-0.1794,-2.47,RED
2025-07-03,-0.1799,-2.56,RED
2025-07-04,-0.1747,-2.39,RED
2025-07-07,-0.168,-2.3,RED
2025-07-08,-0.1547,-2.22,RED
2025-07-09,-0.1437,-2.09,RED
2025-07-10,-0.1306,-1.84,RED
2025-07-11,-0.1193,-1.54,RED
2025-07-14,-0.105,-1.18,RED
2025-07-15,-0.0943,-1.21,RED
2025-07-16,-0.0941,-1.15,RED
2025-07-17,-0.0928,-1.1,RED
2025-07-18,-0.0947,-1.12,RED
2025-07-21,-0.0926,-1.13,RED
2025-07-22,-0.0846,-1.02,RED
2025-07-23,-0.0759,-0.85,RED
2025-07-24,-0.0686,-0.71,RED
2025-07-25,-0.0636,-0.66,RED
2025-07-28,-0.0446,-0.39,RED
2025-07-29,-0.0314,-0.54,RED
2025-07-30,-0.0188,-0.5,RED
2025-07-31,-0.0016,-0.41,RED
2025-08-01,0.0328,-0.07,RED
2025-08-04,0.0543,-0.35,RED
2025-08-05,0.082,-0.32,RED
2025-08-06,0.0931,-0.41,RED
2025-08-07,0.0955,-0.58,RED
2025-08-08,0.0938,-0.79,RED
2025-08-11,0.0873,-1.34,RED
2025-08-12,0.0865,-1.6,RED
2025-08-13,0.0789,-2.08,RED
2025-08-14,0.0748,-1.83,RED
2025-08-18,0.0728,-1.86,RED
2025-08-19,0.076,-1.49,RED
2025-08-20,0.0729,-1.28,RED
2025-08-21,0.0675,-1.47,RED
2025-08-22,0.0606,-1.41,RED
2026-07-02,0.0547,-1.37,RED
2026-07-03,0.0483,-1.37,RED
2026-07-06,0.0448,-1.38,RED
2026-07-07,0.0404,-1.16,RED
2026-07-08,0.0388,-1.35,RED
2026-07-09,0.0395,-1.24,RED
2026-07-10,0.0394,-1.11,RED
2026-07-13,0.0404,-0.74,RED
2026-07-14,0.0427,-0.77,RED
2026-07-15,0.0453,-0.54,RED
2026-07-16,0.0472,-0.26,RED
2026-07-17,0.0586,0.32,YELLOW
2026-07-20,0.0681,0.83,YELLOW
2026-07-21,0.0792,1.26,YELLOW
2026-07-22,0.0929,1.57,GREEN
2026-07-23,0.1014,1.67,GREEN
2026-07-24,0.1044,1.72,GREEN
2026-07-27,0.1069,1.86,GREEN
2026-07-28,,1.93,RED
2026-07-29,,1.93,RED
2026-07-30,,2.21,RED
2026-07-31,,2.23,RED
2026-08-03,,2.37,RED
2026-08-04,,2.83,RED
2026-08-05,,2.89,RED
2026-08-06,,2.8,RED
2026-08-07,,2.65,RED
2026-08-10,,2.43,RED
2026-08-11,,2.37,RED
2026-08-12,,2.4,RED
2026-08-13,,2.14,RED
2026-08-14,,2.29,RED
2026-08-17,,2.4,RED
2026-08-18,,2.59,RED
2026-08-19,,2.71,RED
2026-08-20,,2.74,RED
2026-08-21,,2.81,RED
